,topic_0,topic_1,topic_2,topic_3
CSDE1,4.4429384e-11,8.368445e-11,6.492437e-11,0.00039904605
UBE3C,0.00023835733,2.8645883e-09,0.00095331477,1.4783832e-06
REV3L,0.00021554416,5.262655e-10,0.00062080094,3.153342e-10
IYD,1.6212427e-10,1.5742584e-05,2.1811507e-10,2.4553243e-10
FAM76A,1.7713997e-05,2.537919e-05,1.761921e-05,9.932341e-06
TRAF3IP3,9.0429074e-11,2.0679651e-10,1.8759277e-10,2.0881069e-05
POMT2,7.814339e-06,7.961992e-06,2.6331415e-06,1.0649826e-06
VTA1,5.7081124e-05,2.2914503e-05,7.207233e-06,1.9572111e-05
MLXIPL,3.870632e-05,3.2528584e-09,2.3036313e-10,1.9033516e-10
BAZ1B,0.00011904911,5.1280964e-05,4.1841926e-05,4.7979236e-05
RANBP9,0.00044086226,1.2427306e-09,0.00013558324,7.6524506e-05
ETV7,4.712476e-10,4.3062214e-06,2.8600641e-06,1.4299577e-06
SPRTN,9.0580525e-06,8.21261e-06,4.6536675e-06,2.8670852e-06
ZNF207,1.2045527e-10,1.9969223e-10,1.3848908e-10,0.0003593849
UQCRC1,3.931101e-11,7.466851e-11,0.00077050814,2.9090966e-11
STARD3NL,2.5160538e-05,1.5757634e-05,3.808661e-05,1.3097719e-05
CD9,4.0278798e-11,7.881784e-11,6.328555e-11,0.001214686
NCAPD2,2.0864865e-05,3.1171774e-05,6.007809e-08,1.1567187e-05
IFFO1,1.601889e-06,6.1908224e-07,2.1208148e-06,5.95858e-07
GIPR,3.6867103e-05,2.3385177e-05,2.852385e-10,4.5065415e-10
PHF7,8.201348e-06,3.6882768e-06,1.1567104e-06,4.0260466e-06
NISCH,2.8653318e-05,5.6958926e-09,9.394609e-06,6.115498e-06
STAB1,1.1554677e-10,4.5005977e-10,1.6538099e-05,1.3868536e-08
FUZ,2.7736307e-05,6.690601e-07,1.0551183e-09,1.8548296e-06
PRSS3,3.746678e-11,7.510788e-11,0.0011252634,2.8614071e-11
ZNF200,3.228744e-06,8.885958e-07,5.751033e-07,5.1847405e-07
CD4,1.7650428e-10,5.145101e-10,4.419597e-06,1.5295664e-05
LRRC23,2.6175621e-05,2.4616586e-05,3.0978637e-07,5.2561654e-06
BTK,1.0977897e-06,3.5106376e-07,3.1038045e-09,2.7412868e-06
HFE,1.8339242e-05,4.8739865e-05,1.9623974e-09,3.2550638e-06
SCMH1,0.0007576747,8.002643e-06,2.0476507e-09,1.0641527e-05
FYN,1.2211064e-10,0.0012094831,1.1788716e-09,0.00020279789
HIVEP2,0.00034324208,7.606258e-10,6.7112356e-05,2.063268e-05
FMO1,1.859964e-05,8.116775e-08,4.8062834e-06,8.155956e-07
CLCN6,3.3581073e-05,5.0908002e-05,3.0087414e-05,1.6721351e-05
MRC2,1.2410246e-10,5.0412186e-10,7.4578216e-05,4.3652433e-09
TSPAN9,6.611985e-05,1.4894489e-09,0.00037509904,6.4904697e-07
BTBD7,0.00050645764,9.857885e-10,1.2323026e-09,6.41351e-10
MKS1,1.5272051e-05,1.5349131e-05,2.9596172e-06,1.8295561e-06
ABHD5,1.4225604e-05,1.6552032e-05,2.8956645e-05,8.9345e-06
ANOS1,8.937419e-07,7.824317e-06,2.4835532e-05,2.4577446e-06
AKAP8L,0.00020797669,1.649902e-10,1.3930823e-10,7.187008e-11
MBTD1,0.0003254924,4.140552e-09,3.1348857e-09,3.1154836e-05
UTP18,1.1154725e-05,1.935005e-05,1.8235176e-05,1.41926475e-05
RNF216,0.000121680765,3.6153546e-05,0.000115258445,8.690287e-05
TTC19,9.601921e-05,9.92036e-09,8.530488e-05,2.300864e-05
SYT7,9.242346e-06,1.2926718e-07,3.204872e-09,5.294551e-10
LARS2,5.5131466e-05,2.5695865e-05,1.9279683e-05,1.6316175e-05
PIK3C2A,0.0005138575,1.3076848e-09,0.0003064488,8.521498e-10
PLAUR,4.580057e-11,0.0012459249,8.032059e-11,3.992862e-11
ANLN,1.770593e-10,4.6216224e-05,5.161378e-10,8.5949085e-07
RABGAP1,0.0001668617,0.0013427741,3.1695404e-09,3.5494577e-10
DCN,3.566721e-11,6.936334e-11,5.5052907e-11,0.0014566407
PPP5C,4.852004e-05,4.2094198e-05,5.0949166e-06,1.3939517e-06
CEP68,6.4555766e-06,2.9060607e-09,3.328741e-05,4.4288286e-06
MAP4K3,0.00079525675,0.0001417941,0.0001758276,1.7039902e-05
ZBTB32,5.999782e-06,1.2887795e-09,1.2731721e-09,1.8332973e-06
TYROBP,0.0008958352,6.9374985e-11,5.4865477e-11,2.7408563e-11
