topic_0,topic_1,topic_2,topic_3
0.027324397,0.015107738,0.020130483,0.22440219
0.01785684,0.011160855,0.016374946,0.03558545
0.011504168,0.010534727,0.015444326,0.0188002
0.010359712,0.009847597,0.013605817,0.016626906
0.008301154,0.009738589,0.0118867885,0.016097838
0.0077837375,0.008469066,0.011723378,0.013977098
0.007204343,0.008050755,0.010882151,0.013434095
0.00715147,0.007912872,0.010273805,0.013257048
0.0054971604,0.007817284,0.009675371,0.012826498
0.0053421087,0.0075467867,0.009073837,0.012581506
0.005166676,0.0071386765,0.00843478,0.01254671
0.005148246,0.0068456763,0.008318354,0.01212827
0.004757078,0.006656885,0.008285003,0.01154872
0.0046773143,0.0066121966,0.008142904,0.011506703
0.00446642,0.006531243,0.007565974,0.01112664
0.004436292,0.006459309,0.007282835,0.011035378
0.004279303,0.00601376,0.0072415164,0.010902464
0.0042783967,0.005955022,0.0070032133,0.01044952
0.0039133793,0.00581136,0.006362448,0.010412067
0.0039116777,0.005650746,0.006312935,0.01034362
0.003892316,0.0056349705,0.0061707115,0.009965602
0.0038668502,0.0054241624,0.006131195,0.009564816
0.0038509483,0.005213094,0.0061274944,0.009483932
0.0037144849,0.0051252167,0.0059768725,0.0094216475
0.0035223453,0.0050942926,0.0058575505,0.00925838
0.0035194675,0.0049649915,0.005790548,0.008521455
0.0035104437,0.004938796,0.0057578385,0.008216375
0.003498696,0.0049228338,0.0057373573,0.007879164
0.0034810666,0.0048451517,0.005593076,0.0071196365
0.0034458595,0.004690782,0.005541876,0.0067876466
0.0033200542,0.004657653,0.0052658343,0.0067678676
0.0032339355,0.004646205,0.005254925,0.0063780155
0.003214953,0.0046293093,0.005151048,0.006320896
0.0031354183,0.0045820265,0.0051369485,0.0062492397
0.0030577518,0.0045037456,0.0050993916,0.0061256164
0.003050834,0.0044956226,0.004949563,0.0059344736
0.0028855999,0.0044302675,0.004768888,0.0058267987
0.0028715308,0.0042927256,0.004755833,0.0057728374
0.0028190159,0.0042676185,0.0046803304,0.005712175
0.002773467,0.0042616925,0.0044814046,0.0051296665
0.0027631759,0.004156774,0.004397718,0.005125779
0.0027484845,0.0041275066,0.0043967175,0.005046812
0.0026733824,0.0040638875,0.004352636,0.0049967654
0.002611598,0.004000726,0.0043262825,0.004593233
0.002596615,0.0039674444,0.0042706314,0.0045414222
0.0025900365,0.003913861,0.0041297707,0.0042765406
0.0025869336,0.00391226,0.0040593073,0.004071231
0.0025842802,0.0038361142,0.004048606,0.0040570954
0.002570638,0.0038300294,0.004042874,0.003962527
0.0025274581,0.0037449303,0.004013475,0.0039117746
0.0025069641,0.0036969597,0.003996823,0.0038187942
0.0025051886,0.003687138,0.003988372,0.0036360805
0.0024769444,0.003606981,0.003979905,0.0035383173
0.0024579428,0.0035343952,0.003945146,0.0035072311
0.002447513,0.0034706977,0.0039421692,0.0033826448
0.0024216552,0.0034623484,0.003915031,0.003254901
0.00238125,0.003461363,0.003837005,0.0030706245
0.002367063,0.003460894,0.00382969,0.0029404317
0.002366352,0.0034214887,0.0037811813,0.0028024209
0.0023392092,0.0033855399,0.003764932,0.0027910187
0.002330514,0.0033139396,0.0037587793,0.002701928
0.0023214326,0.0032705958,0.0037054697,0.0026399721
0.0023085678,0.003265447,0.0036957911,0.0026289653
0.0022756355,0.0032476299,0.0036641024,0.0025704128
0.0022656247,0.003225085,0.0035757674,0.0025635164
0.0022267587,0.003224373,0.0035745264,0.0025474753
0.0022259837,0.0032071532,0.0035040486,0.0025090475
0.0022222993,0.0031573363,0.003480107,0.0025071842
0.002214539,0.003148969,0.003468259,0.0024331883
0.0022077954,0.0031417217,0.0034193376,0.0023666115
0.0021556464,0.0031361778,0.0034113382,0.0023421266
0.0021327543,0.0031185811,0.0033849683,0.0023393005
0.0021203712,0.0030903176,0.0032578697,0.0023337498
0.002119431,0.003022301,0.0032471563,0.0023073903
0.0021188974,0.002990679,0.0032456205,0.002271609
0.0021133882,0.002962204,0.0032258835,0.0022619264
0.0021105763,0.0029434843,0.0032084857,0.002254559
0.0020944611,0.0029111886,0.0031969082,0.002214689
0.0020903745,0.0028933499,0.0031855835,0.0021810792
0.0020651857,0.0028907203,0.0030475233,0.0021774464
0.0020448507,0.0028658607,0.0029975402,0.0021750764
0.0020155457,0.0026997707,0.002991275,0.0021604623
0.0020138645,0.0026818642,0.0029856819,0.0021331592
0.002008586,0.0026789792,0.0028973815,0.0021287936
0.001999586,0.002675609,0.0028207342,0.0021282255
0.0019611611,0.0026729286,0.0028111767,0.002075235
0.0019522954,0.0026727922,0.0028098149,0.0020743324
0.0019464728,0.00266761,0.0028081795,0.002013757
0.001938444,0.0026615025,0.0028031159,0.0020034227
0.001919575,0.0026323309,0.002747934,0.001963667
0.001908264,0.002603902,0.0027314527,0.001960129
0.0019061923,0.002601801,0.0027042646,0.0019545327
0.0019009239,0.0025805787,0.0026739892,0.0019335753
0.0018956776,0.0025637525,0.0026705118,0.0019226988
0.0018934534,0.0025500131,0.002664075,0.0019129028
0.0018783297,0.002549658,0.0026023034,0.0018849424
0.0018734726,0.0025355334,0.0025451162,0.0018742053
0.0018420399,0.0025042628,0.0025232458,0.0018670782
0.0018049427,0.0024882294,0.002509186,0.0018365076
0.0017958445,0.0024819076,0.002506897,0.0018152934
0.0017955395,0.0024770438,0.0024891456,0.0018000419
0.0017892885,0.0024741315,0.0024390803,0.0017960003
0.0017887834,0.002469775,0.002424345,0.0017911922
0.0017841612,0.0024641366,0.0024082547,0.0017857563
0.0017831457,0.002447975,0.0024024397,0.0017738511
0.0017800994,0.002436975,0.0023895593,0.0017720115
0.0017788587,0.0024348178,0.0023493948,0.0017600486
0.0017746651,0.0024085455,0.002334587,0.0017536699
0.0017654212,0.002376903,0.0023251004,0.0017231773
0.0017479046,0.002356387,0.0023236088,0.0017161629
0.001744075,0.0023309651,0.0023026916,0.0016986572
0.0017373185,0.0023226107,0.002249766,0.0016879168
0.0017102273,0.0023118244,0.00223416,0.0016813091
0.0016979136,0.002298624,0.0022251243,0.0016760085
0.0016836869,0.0022942633,0.0022104932,0.001591769
0.0016683107,0.0022929453,0.0022070839,0.0015865859
0.001656217,0.0022868274,0.0021851966,0.0015325525
0.0016517137,0.0022829368,0.0021755607,0.00152625
0.0016468299,0.002267314,0.0021699215,0.001487062
0.0016450844,0.002258931,0.0021316034,0.0014820148
0.0016370573,0.0022201536,0.0021257487,0.0014788945
0.0016210292,0.0022027448,0.0021109034,0.0014713233
0.0016056341,0.0022009872,0.0021104102,0.0014449902
0.0015948203,0.0021991576,0.0021065676,0.0014445657
0.0015859128,0.0021779127,0.002081525,0.0014442296
0.0015850192,0.0021651897,0.002076495,0.0014401613
0.0015734241,0.0021589135,0.0020324497,0.0014348094
0.0015724099,0.0021549487,0.0020297852,0.0014274814
0.0015686596,0.0021266418,0.001997254,0.0014119572
0.0015672061,0.002106263,0.001996203,0.0014107364
0.001562538,0.0020886657,0.0019268738,0.0014087722
0.0015611588,0.0020695291,0.0019205472,0.001396173
0.0015566287,0.0020556164,0.00191854,0.0013715589
0.0015529471,0.00205313,0.0019099608,0.0013680304
0.0015413925,0.0020407012,0.0018855284,0.0013679651
0.0015288504,0.0020372262,0.0018723642,0.0013623136
0.0015203984,0.0020095343,0.0018705509,0.0013400691
0.0015160779,0.0019869988,0.0018410548,0.0013330332
0.0015137258,0.0019860677,0.0018291209,0.0013292324
0.0015120998,0.0019854645,0.0018258436,0.0013269081
0.0015057393,0.001983624,0.0018208008,0.0013177403
0.0015025792,0.0019803955,0.0018197793,0.0013015016
0.001495738,0.0019778116,0.0018140846,0.0012849973
0.0014714622,0.0019771592,0.0018068717,0.0012569134
0.0014575376,0.0019694867,0.0018061636,0.0012483089
0.001456558,0.001949276,0.0018017181,0.0012450726
0.0014553444,0.0019482537,0.0017893098,0.0012361848
0.001452933,0.0019329347,0.0017791089,0.0012283064
0.0014511175,0.0019079518,0.0017728305,0.0012215218
0.0014483759,0.0019026651,0.0017646849,0.0011752852
0.00144012,0.0018947631,0.001730613,0.0011666118
0.0014318171,0.0018917415,0.0017072533,0.0011635185
0.0014287044,0.0018905988,0.0017032243,0.001161267
0.0014243606,0.001888278,0.0016881076,0.0011588708
0.0014239816,0.0018833899,0.0016835489,0.0011581869
0.0014204376,0.0018720046,0.0016823803,0.0011288485
0.0014147419,0.0018632219,0.0016690054,0.0011287925
0.0014133664,0.0018626205,0.0016651747,0.0011226924
0.0013971693,0.001862204,0.0016646673,0.0011200061
0.0013865145,0.0018510368,0.0016646022,0.0011119293
0.0013739454,0.0018306759,0.0016583601,0.0010996009
0.0013725363,0.0018305738,0.0016427813,0.0010871508
0.0013491376,0.0018201516,0.0016282796,0.0010834103
0.0013473529,0.0018064806,0.0016075639,0.0010768498
0.0013433229,0.001798128,0.0016061672,0.0010696941
0.0013397995,0.001796473,0.001602994,0.001060535
0.0013391327,0.0017935047,0.0015905757,0.0010550541
0.0013214869,0.0017914578,0.0015755178,0.00105101
0.0013156283,0.0017704904,0.0015608988,0.0010451867
0.0013139017,0.0017671916,0.0015584171,0.0010414873
0.0013136361,0.0017641447,0.0015554461,0.0010379971
0.0013100618,0.0017634785,0.0015515231,0.0010211152
0.0013098795,0.0017421988,0.001551014,0.0009935525
0.0012910852,0.0017421008,0.0015442963,0.00097021856
0.0012896872,0.0017310973,0.0015442168,0.0009674024
0.0012877847,0.0017305668,0.0015398675,0.0009565176
0.0012845967,0.0017265354,0.0015244382,0.00093801867
0.0012840846,0.0017212203,0.0015224661,0.00093524694
0.0012833171,0.001718727,0.0015210822,0.0009296181
0.0012712602,0.0017128234,0.0015172219,0.0009128269
0.001266954,0.0017035711,0.001515342,0.0009103032
0.0012644541,0.0016786429,0.0015141843,0.0009042414
0.0012639237,0.0016709988,0.0015141597,0.000903314
0.0012609067,0.0016557551,0.0015087572,0.0008976812
