topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0.008358341,0.020905191,0.03756329,0.24639122,0.04129256,0.03971074,0.016339721,0.053345256
0.0063572954,0.018521274,0.013098189,0.03854334,0.014535129,0.022142716,0.014980878,0.03739948
0.0054096286,0.013869054,0.009970318,0.020190906,0.014422278,0.017002398,0.014961232,0.025076015
0.0051598316,0.013712064,0.007468448,0.017403781,0.0137717845,0.008676483,0.010813686,0.024994649
0.0044491044,0.012955557,0.0073364526,0.017003477,0.012694171,0.00670521,0.010119677,0.013489981
0.00435735,0.011217384,0.006661931,0.015026603,0.011848414,0.0062666545,0.010004593,0.013252219
0.004316129,0.011149276,0.006605985,0.014296314,0.0111275315,0.005645664,0.009936756,0.012397521
0.0039739865,0.0107929,0.0060302503,0.013905972,0.010510708,0.004518573,0.009830886,0.012250444
0.0038886876,0.010497544,0.005826471,0.013615124,0.010420362,0.0045123207,0.009139262,0.011339235
0.0038092753,0.010314551,0.0056827096,0.013405881,0.010331996,0.0042936434,0.009053821,0.011184573
0.0037845692,0.010155006,0.005649962,0.013356375,0.010293012,0.0040874183,0.008965665,0.011062811
0.0037038445,0.0098953135,0.0055680093,0.013164002,0.010171629,0.003925827,0.008542419,0.010868586
0.0036735774,0.009477774,0.0055526206,0.0123557495,0.01008018,0.0038699491,0.008496603,0.010649031
0.003638842,0.009367886,0.005458908,0.011710081,0.010074164,0.0037704655,0.00833197,0.010113549
0.0034710732,0.009071453,0.005426245,0.011690956,0.009334065,0.0037267585,0.00787397,0.009141733
0.0034485736,0.008526556,0.0054110214,0.011589847,0.009317008,0.0035614127,0.007807584,0.008859555
0.0034480228,0.0082321325,0.005377675,0.011064979,0.007909903,0.003498749,0.007798944,0.00877542
0.003446854,0.007978844,0.0053394297,0.0110621415,0.007904203,0.003405276,0.0077197067,0.008682845
0.0033828288,0.0077642617,0.0051849484,0.010767389,0.0076761693,0.0033577294,0.0077154012,0.008618647
0.0033582419,0.007352668,0.0050435737,0.010618713,0.0075126025,0.003340632,0.0075460565,0.008523288
0.0033475603,0.0071765305,0.0050314865,0.010540299,0.007502328,0.003313276,0.0074900393,0.008077898
0.0032547552,0.006992139,0.0049806563,0.010442686,0.007393535,0.0032855924,0.0074032755,0.007951046
0.0032453667,0.00692159,0.0049690134,0.010051961,0.007198204,0.0031457243,0.0072969724,0.007948753
0.003216304,0.0067622354,0.0049028867,0.009990362,0.0070500774,0.0031454572,0.0071536154,0.0073511465
0.0031874906,0.0065410454,0.00488041,0.008940173,0.0070232414,0.0030984816,0.006779728,0.0070766346
0.0031209956,0.006287609,0.0047976268,0.008684786,0.006951554,0.0029866486,0.0066876095,0.0069646165
0.0030633574,0.006134017,0.0046991236,0.007608672,0.0068609277,0.0029727472,0.0066241953,0.006951786
0.0030526195,0.0060112597,0.0045947446,0.0072113243,0.0065227617,0.0028511304,0.0064006737,0.0069445795
0.0030498551,0.005895961,0.004587367,0.0072026537,0.0060457,0.0028307699,0.0062268716,0.0067666057
0.0030498288,0.005863288,0.004565127,0.0071256785,0.0058877575,0.002812799,0.0062089097,0.006321526
0.0030380504,0.005837505,0.0045134136,0.006712619,0.005883133,0.0027975824,0.0060132234,0.0062310267
0.0029482113,0.005724273,0.0043498185,0.006652903,0.0056622657,0.0027686467,0.005933257,0.006167567
0.002920763,0.005716123,0.0042847013,0.0064370907,0.005557929,0.0027679813,0.005768124,0.0061225328
0.0028964765,0.005462903,0.0042833854,0.0064312397,0.0055136885,0.0027498112,0.005628018,0.0060176635
0.0028564716,0.005443541,0.0042380234,0.006422898,0.005479025,0.0027496563,0.005572381,0.0059787426
0.0028479402,0.0054381313,0.004193437,0.0063062105,0.005284828,0.002745134,0.0054834085,0.0058957026
0.0028300667,0.005337989,0.004175571,0.0063019064,0.005278401,0.0027245167,0.0054761493,0.0058931783
