,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
DPM1,2.5394523e-10,2.0149235e-10,2.8457012e-10,3.398297e-11,1.6291474e-10,2.1614417e-10,2.157101e-10,0.0012138574
SCYL3,2.6084251e-10,2.0152119e-10,3.1405634e-10,3.3989707e-11,1.6284142e-10,2.2767974e-10,2.1548967e-10,1.14587895e-10
C1orf112,2.6727587e-10,2.0151542e-10,2.954583e-10,3.4006308e-11,1.6280136e-10,2.2504093e-10,2.1560233e-10,1.1461762e-10
FGR,0.00036229723,2.0147699e-10,2.8448163e-10,3.3983746e-11,1.6288647e-10,2.1633348e-10,2.1570228e-10,1.14598823e-10
CFH,2.5383867e-10,2.0152002e-10,2.8415845e-10,3.3983292e-11,1.6281222e-10,2.1679157e-10,2.1566154e-10,0.0014078716
GCLC,5.492833e-10,2.0315481e-10,4.9511035e-09,3.443868e-11,1.6291195e-10,2.4934382e-10,2.2323726e-10,1.1459358e-10
STPG1,2.5411287e-10,2.0269808e-10,3.0406658e-10,3.3993468e-11,1.6350465e-10,2.7172364e-10,2.1644452e-10,1.14607566e-10
NIPAL3,4.0021966e-10,2.0148967e-10,3.4423397e-10,3.4276162e-11,1.6280259e-10,3.9386305e-10,2.1547324e-10,1.1460057e-10
LAS1L,3.2770564e-10,2.0301923e-10,2.9351316e-10,3.4297613e-11,1.640726e-10,2.4096533e-10,2.1762098e-10,1.1661283e-10
SEMA3F,2.5368863e-10,2.0148774e-10,2.8928915e-10,3.398251e-11,1.628703e-10,2.1614911e-10,2.1563275e-10,1.2231413e-10
CFTR,2.5454458e-10,2.0151579e-10,2.8496333e-10,3.3984524e-11,1.6293432e-10,0.017002398,2.1552174e-10,1.1465392e-10
ANKIB1,3.2014e-10,2.0150619e-10,0.00091416587,3.398297e-11,1.6281503e-10,2.2623303e-10,2.1554557e-10,1.14604506e-10
RAD52,2.9483907e-10,2.015527e-10,2.9459116e-10,3.4039275e-11,1.6291257e-10,2.8273442e-10,2.1563851e-10,1.1608731e-10
LAP3,2.536896e-10,2.0149235e-10,2.845598e-10,3.3982837e-11,1.6280353e-10,0.0020712982,2.1542639e-10,1.1462068e-10
HS3ST1,2.5396554e-10,2.0148312e-10,4.1789902e-10,3.4014874e-11,1.6280073e-10,2.1688959e-10,2.1558834e-10,1.14623304e-10
AOC1,2.53618e-10,2.0150581e-10,3.8642411e-10,3.398219e-11,1.6269892e-10,2.1665765e-10,2.155238e-10,1.14603195e-10
LASP1,2.5409638e-10,2.014939e-10,2.844876e-10,3.398297e-11,1.6263066e-10,0.001950001,2.155316e-10,1.14610633e-10
SNX11,2.981928e-10,2.0150966e-10,2.843992e-10,3.398407e-11,1.6268153e-10,2.1651884e-10,2.1547406e-10,1.14598386e-10
M6PR,2.537312e-10,0.0025965236,2.8441438e-10,3.3982255e-11,1.6276007e-10,2.1642306e-10,2.155608e-10,1.14607566e-10
KLHL13,2.5481758e-10,2.0146315e-10,2.8438887e-10,3.4032655e-11,1.6280136e-10,2.2632886e-10,2.1560151e-10,1.1599215e-10
ICA1,2.793941e-10,2.0150774e-10,6.659551e-10,3.3983486e-11,1.6284298e-10,0.0010891858,2.1559698e-10,1.14609315e-10
DBNDD1,2.5391036e-10,2.0148007e-10,2.8452615e-10,3.3983098e-11,1.6288274e-10,2.2816576e-10,2.1557517e-10,1.14616316e-10
ALS2,2.786012e-10,2.0453467e-10,4.752844e-10,3.4024474e-11,1.6535187e-10,9.027557e-10,2.1828946e-10,1.2006418e-10
CASP10,2.7715427e-10,2.0151926e-10,0.00034145583,3.3982903e-11,1.6268838e-10,2.1679654e-10,2.1566073e-10,1.1460844e-10
CFLAR,2.5417296e-10,2.0151696e-10,2.8433841e-10,0.00035143195,1.6281781e-10,2.164924e-10,2.1560437e-10,1.1459227e-10
