,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
RP11-43F13.1,1.1404792e-06,3.495357e-09,6.532432e-06,2.9188848e-07,3.1391396e-09,8.092027e-06,3.604668e-09,7.74587e-10
MORN2,6.318472e-11,1.441243e-10,1.0034551e-10,3.36671e-11,1.2897232e-10,0.00030472066,1.4843461e-10,7.6918055e-11
UBQLN2,1.0917576e-05,4.264091e-05,8.654356e-06,2.6712058e-05,7.5928474e-05,1.9049145e-05,4.4570756e-05,4.490598e-05
RILPL1,1.4884864e-05,1.1836477e-06,2.554322e-06,1.3964384e-08,5.9364174e-06,0.00012274124,4.337054e-06,6.514816e-05
ZNF490,7.242722e-05,6.7972654e-09,2.2208565e-05,2.0545274e-06,4.3935517e-09,4.7344936e-05,7.2215873e-09,1.4588696e-09
CLCN1,6.1632295e-07,2.2186544e-09,1.4223717e-05,1.1789187e-09,1.8276141e-09,2.6413932e-10,2.5755944e-09,6.664291e-10
NWD1,1.3821628e-09,1.111521e-09,1.0676555e-09,3.186189e-10,9.499295e-10,6.121954e-05,1.1775524e-09,3.850013e-10
ARL4C,0.000315405,7.876919e-10,4.6194867e-10,2.8707292e-10,7.800534e-10,3.2477546e-10,7.7719753e-10,3.8000095e-10
WNT7B,1.615067e-10,8.449363e-10,3.0535262e-05,1.642633e-10,8.196748e-10,6.5994255e-10,9.236141e-10,2.7960786e-10
GPR89B,6.120303e-05,3.5446377e-08,8.437105e-05,5.722193e-06,1.3003259e-08,2.092706e-05,8.674525e-08,9.251909e-09
C6orf132,1.8135048e-10,9.451654e-10,0.00026591367,2.4138808e-10,8.894805e-10,3.410688e-10,1.0282948e-09,3.1601763e-10
COL4A5,2.062728e-08,1.8194434e-06,4.4739525e-05,1.8519681e-06,1.0323697e-05,6.839561e-06,5.138031e-06,4.3075586e-05
AGRN,6.12745e-11,1.4084232e-10,9.8189984e-11,3.2559153e-11,1.2590949e-10,5.5594758e-11,1.449801e-10,0.0006161
NHS,4.125705e-10,1.7127143e-09,0.0004968973,1.1619415e-09,1.8087453e-09,1.4755842e-10,1.7733247e-09,0.00017454916
HEPACAM2,7.7787377e-10,1.1419674e-09,2.2703267e-05,2.4294977e-10,1.0216342e-09,1.0488507e-06,1.2326763e-09,3.651528e-10
SMTNL2,5.8980776e-10,1.1005574e-09,3.6152212e-10,7.974864e-10,1.0441872e-09,1.4410284e-10,1.0919178e-09,3.9005878e-05
ZC3H6,3.615362e-05,5.0567546e-09,5.7084467e-06,3.3125157e-06,3.8469175e-09,2.2300632e-05,5.272574e-09,2.2133417e-09
LINC00265,3.468831e-05,8.22248e-09,4.0754723e-05,3.278964e-06,6.5978556e-09,2.3414877e-05,9.294215e-09,1.5547219e-09
LAMTOR4,6.235397e-11,0.0021025355,9.7879954e-11,3.2803503e-11,1.2544804e-10,5.3755354e-11,1.4461966e-10,7.47744e-11
PRKAR1B,2.4953524e-05,8.108002e-06,5.2298376e-05,2.3417264e-09,2.6422336e-07,2.3676725e-05,1.4619784e-05,6.708446e-05
ZNF793,8.113045e-06,2.7792464e-09,7.163431e-10,9.791361e-10,2.350089e-09,2.0020607e-05,2.5935187e-09,2.2115305e-06
AGAP4,6.603667e-05,1.3813835e-08,1.0658997e-05,4.367266e-06,9.860108e-09,4.346468e-05,1.3100172e-08,3.917361e-06
COMMD6,6.006917e-11,1.3712963e-10,9.5410534e-11,0.0017106236,1.2261499e-10,5.2480575e-11,1.4118982e-10,7.3115715e-11
HYKK,8.0632964e-07,2.5621146e-06,1.829421e-05,1.9876393e-06,5.3874764e-06,4.5596594e-06,3.3617712e-06,3.7251857e-06
ZNF383,3.5723006e-05,9.536206e-09,4.6098427e-09,1.8104151e-06,5.7951217e-09,1.39547665e-05,9.70167e-09,2.0369455e-06
PLSCR1,7.700275e-11,1.750676e-10,1.2620642e-10,3.9897786e-11,1.5611248e-10,7.884085e-11,1.8087203e-10,0.0021746594
C3orf62,8.584559e-06,5.2838227e-06,2.0512079e-09,9.55417e-10,2.3912849e-06,1.0206624e-05,2.837907e-06,3.2766085e-05
ENO4,9.702721e-10,3.2034724e-09,9.830696e-10,3.5192606e-08,3.448716e-09,1.6608179e-05,2.929451e-09,2.3675455e-09
SBK1,1.257345e-05,1.7225559e-09,1.5427143e-09,2.4703587e-08,1.410311e-09,1.8029246e-05,1.8030516e-09,4.5599852e-10
SLC38A3,1.2683264e-10,3.7088116e-10,2.2002627e-10,7.784953e-11,3.3633227e-10,1.2329892e-05,3.787224e-10,1.6914527e-10
GTF2F2,0.00017417221,4.6056484e-06,0.00014965306,4.2988548e-05,1.3389134e-08,0.00013990139,4.30933e-05,4.224907e-09
FAM92A1,1.9414398e-10,4.158143e-10,2.8356772e-10,1.0902295e-10,3.7354345e-10,0.00015134465,4.2635678e-10,2.6456587e-10
FOCAD,0.00012804204,6.218942e-09,7.165738e-05,1.182706e-05,5.0783084e-09,0.00033832173,6.8182615e-09,2.2033852e-08
ZP3,1.102766e-05,2.3900968e-08,4.5202578e-05,2.8107836e-06,2.2584354e-08,1.5309777e-05,7.1543035e-08,2.005963e-09
CHM,0.00035702353,3.5825425e-09,1.0826619e-06,1.4682631e-09,3.7918224e-09,5.165143e-05,3.6097179e-09,7.3773903e-09
CERKL,2.9598684e-06,1.8935686e-09,1.6391803e-05,4.547012e-09,1.5492103e-09,2.071702e-06,2.0023276e-09,4.8062193e-10
