topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
MFHAS1,PTRH1,MSL1,EHD1,AC159540.1,TNRC18,CARS,UHRF1BP1L
CRTC1,RPP38,SYT13,RBMX2,IFT140,MPZL3,INPP5A,UEVLD
MYO9A,CEP57L1,CDC14B,PIKFYVE,BRMS1L,SHMT1,SETD9,TENM4
VTA1,NT5DC3,DNAJA4,ORAOV1,ZNF473,CLOCK,NCAPD3,NSUN4
TNKS,ERI2,VWA2,CIZ1,ZMYM1,DNAH12,RP11-308D16.2,RBP5
WRN,PUS7,TNKS,GTF2H3,ZNF623,TCF12,RP11-228M15.1,ARL3
TMX3,ZNF473,CATSPERB,LYAR,DUBR,APBB2,CHMP1A,PCGF6
RPS6KA3,POMT2,GPKOW,ZXDC,SLC39A6,SCARB2,TJP2,UNC45A
FAM208A,C6orf203,AOC1,MRPL39,RP11-408H1.3,ARNT,CLIC5,ST3GAL2
TBCK,SRFBP1,BRI3BP,SEC22C,WDR35,RAB9A,ZNF565,CCDC149
WDR48,USP49,SLC35E2B,FBXW7,ZNF260,RBPJL,SLC35B4,RPF1
C1orf21,ZFC3H1,UHMK1,GANC,SBF2-AS1,SNX19,CARM1,SYPL1
FBXO38,SDHAP1,ATG10,PHLDB3,DNM1,KAT8,STRN4,KPNA3
POM121,PHF13,NNT-AS1,HSPA12A,GYS1,CDK7,ZBTB41,C3orf58
PARG,AP5S1,ATE1,MTM1,GRK4,UBE2R2,FBXO6,SYNE1
POLR2B,CNTROB,NBPF15,XPNPEP3,PPP2R5B,PHLDB2,BEX5,SETD4
LDLRAD3,LRRC23,UTP4,PARP16,ZCCHC8,PAPD5,FUNDC1,FAM219B
KPNA3,TMEM222,AK5,TRIM44,POFUT2,XKR6,ENDOV,RPS6KB2
SLAMF1,NARF,ADPRHL2,INPP5F,ALG3,ZNF407,TDRD7,HAND2-AS1
SCAF4,RPP30,PHRF1,PFN2,SGO1,WRN,PRMT9,HSPA12B
CDK12,ERCC8,PGPEP1,GTPBP1,FAM57A,MARK2,CCNB1,KIAA1217
MPHOSPH6,OTUD6B,SPATA6L,CCDC18,VWA9,ARHGEF38,FAM160B2,EFTUD2
TMED8,C20orf96,IDE,POLA1,DDHD2,WDPCP,SYNJ1,YEATS2
PIK3CB,NEDD8-MDP1,PPFIBP2,GPR89B,PPFIA3,CTD-2587M2.1,MKNK2,PTPN13
TRIM14,FEZ1,STAG3L4,HOMEZ,METTL22,GSTO2,DHX8,TBC1D12
GGA3,XAB2,ANKMY2,ANAPC7,ZSCAN5A,QSER1,RRAGB,CRELD1
RAB8B,BRMS1L,WHSC1,EIF3J-AS1,MMGT1,AKAP8,VPS53,RIPK1
NCOA1,LANCL2,NCOA2,PGD,TTI2,HMGA2,PNPLA6,INTS9
XYLT1,MSANTD3,ESYT2,COG2,HFE,PURA,ENOPH1,KIAA0141
GNA12,UBR7,COG2,PSMD5,TENM3,VPS51,IQCG,PPP2R1B
CDK7,TBC1D17,GSKIP,SELO,SLC25A17,PEMT,ZNF273,RECQL
RAB35,NECAP2,MBD5,KDM4C,SGCB,RPAP2,ALG8,KLHL42
APIP,ELP6,VPS53,RP11-423H2.1,TTPAL,CCNY,LRRC23,AIFM1
C6orf106,SPRTN,SYPL1,IGF1,RTN2,KCTD9,OTUD6B-AS1,BRF1
KIAA0430,RHOU,POMGNT1,SLC39A13,METTL14,PPP6C,FRG1CP,TMEM70
TIMM17A,CEP126,ZNF823,TPRG1,TMEM241,CCDC50,SLU7,FAM107A
IKBKB,MTURN,IPO5,WWC3,POP1,TGFB2,YAE1D1,SLC25A44
TNIK,CEP152,SHROOM2,PTPRS,MIR222HG,ANKRD36B,LIN52,PPP6C
TMEM135,INTS8,MTMR2,CCT5,FAM161A,MIGA1,MAP2K7,ZYG11B
TNKS2,ZNF787,ARV1,KIAA0232,KIF23,WDR72,MAD2L2,ASB6
NBN,WBP2NL,CCNT2,UBE2J1,KIF11,TRAF3IP2-AS1,SYT1,FBLN2
ABHD17B,NUDCD1,LTN1,TXLNG,IL34,ZNF592,PCGF6,CC2D2A
DCUN1D1,FBXL12,MLLT3,FASTKD1,LINC00630,RP11-156P1.3,PEX16,HS2ST1
MAML1,TFE3,TIAM2,CRELD1,PLEKHG2,BLNK,TLN2,LRCH3
BDP1,UBQLN4,NOMO1,AKAP8,SLC25A44,VPS13B,FBRSL1,INVS
BPTF,MAP3K2,MMS19,COX18,APIP,LARP1,TTC28-AS1,CCDC92
KAT6A,FAM20C,UBR2,SDC2,ZNF496,FASTKD1,GTF3C3,IPO9
DLEU2,IFT140,NOL11,B4GALT6,KCNC4,KIAA0319L,GMEB1,GATAD2A
RP11-1023L17.1,ZNF880,RNF19B,VPS72,BLVRA,RIPK1,NOM1,PPP3CA
SZRD1,KLHL12,SUSD1,MTHFD1,C6orf203,HSPB8,CHRM3,ANKRD50
ALDH9A1,NOC2L,TBC1D10A,MTMR14,MALAT1,DLG3,SIRT5,MTHFR
RNF121,TMEM185A,MFSD4A,PMPCA,PTRH1,ZNF217,EXOSC10,ACVR2A
CRYBB2P1,SLC27A1,UGT8,TAB1,CTD-2015H6.3,CTPS2,PES1,TBC1D13
ACTL6A,FEM1B,UVSSA,ACTR3B,SSX2IP,RC3H1,UBR7,SNX25
C10orf11,PTPDC1,MRPL45,RDH11,FICD,MFSD4A,ZUFSP,CLOCK
TRPV2,MUTYH,PEX26,DNAH2,EXTL2,TBC1D23,SLC36A4,RCC1L
UBE3B,UBE2J1,SNTB1,GPANK1,COL8A2,UBE4B,SCFD2,MKLN1
TACC3,XYLB,ADGRF1,MAPRE2,TUBGCP5,TSPOAP1,DONSON,TUBG2
GOLGA7,CENPBD1P1,KIAA1324,PDHB,DDX51,AMN1,ZNF595,SIK3
STT3A,TLR5,KDM2A,C12orf43,ANOS1,JOSD1,CEP135,PPP2R5B
ENOX2,SLC12A4,GTPBP10,CUL4B,TRAF3IP1,PTER,PUS7L,UCK2
PRKAG2,PLEKHG2,TMEM161B,ANKRD42,MLLT6,UBR2,QPRT,GALNT15
SYNE1,GMEB1,STK11,EXOC2,GALK2,MIRLET7BHG,TEX30,KLHL8
PDE4A,C5orf22,MRPS9,TUBGCP3,KDELR3,CLHC1,RRM1,CLTCL1
NAAA,OSCP1,PEX13,AP2A1,RP11-277A4.4,CDS2,CEP44,PSMD5
PPP6R2,MYT1L,DCTN5,RUBCN,TARS,COA4,TET3,FADS3
SIRT1,LETM2,TRUB1,TRIM23,QPRT,EPC2,ALG3,FAM131A
INVS,IMPACT,COQ10B,LIN52,ACAD10,PRICKLE1,XYLB,AMOTL1
ARHGAP24,SPACA6,CDC25B,EIF1AX,FAM151B,IP6K1,HECTD2,EFHC1
BAP1,SLC4A1AP,UTP18,PIGK,ATG2A,ADAM10,HSPA5,LRRC58
CPEB3,SWSAP1,CCDC18,CKMT2-AS1,SGMS2,PCNX2,EHD2,PDE6D
PCIF1,TUBGCP5,IL7,SMARCAD1,CSNK1G1,ZFHX3,SPC25,CNTN1
TEP1,AREL1,PARG,TAF8,DTD1,TPST1,TDP2,MIB1
DCAF5,ANOS1,C14orf119,GNPDA1,AC004112.4,TSHZ1,POLG,PPM1L
PRPS1,CNOT8,RAB3GAP1,MARK2,HIF1AN,BLMH,CCDC92,AKTIP
PPCDC,PHLPP2,SPTY2D1,TFPT,USP31,ZNF19,CNTROB,CEP89
ABCB7,ZRANB3,SPIDR,METTL21A,LRP12,SLC2A13,PSPH,POLA1
OXCT1,ACOX3,ZFPM2-AS1,FAM3A,SMOX,SOS1,INTS8,CCZ1B
ARHGAP10,FKTN,NSUN4,ERLIN2,VPS18,STT3A,DUSP14,DENND2A
KATNBL1,SLC26A2,VTI1A,ZDHHC5,ARHGEF26,SCD5,MRPS9,PIP4K2B
ASXL1,ATAD3A,WBSCR27,MDC1,WHRN,FERMT2,FANCA,ADAMTSL4-AS1
NLK,RP1-43E13.2,FRG1CP,SP140L,FBXL8,CTR9,NDUFAF1,FMNL3
ZFP90,SMG1P3,INPP5F,ARNT,PI16,NUP43,NUP188,MAST2
SLC11A1,SLC25A17,PGAP2,TMEM120B,NUDT6,TRIM44,DPH7,RNF24
HIP1,C2orf47,PIGZ,CCP110,SZRD1,HUWE1,METTL2B,NFAT5
PNPLA6,ERMAP,ATAD2B,QTRT2,FBXO22,ZNF826P,MYO18A,INPP5A
MTERF1,ZNF273,FTX,NPAS1,METAP1D,SUPT3H,TRAF3IP1,SHQ1
SBF2,FPGS,ECD,PYROXD1,GTF3C1,PDZD2,FAM20C,CPAMD8
SPEN,TRIM35,POGK,NECAP2,KIAA1549L,CASP8AP2,RP11-488L18.4,BTRC
ARHGAP26,PEX10,LIPG,FAM210A,RAD1,TTC21B,NAT10,MOXD1
BASP1,PDSS1,CLASP1,ZNF138,PEX16,UEVLD,MMD,LDB3
CAMKMT,DVL3,PRH1,VEGFB,LINC01426,CRTC1,MTURN,ATG16L2
MSH2,LINC00674,EIF2AK3,DCTN5,ZNF426,CDC16,MEMO1,SIAE
DIP2B,CAMSAP1,MCUR1,HPS1,MED6,SIRT2,RNF135,MED27
APC,BNIP3,PPP2R5B,TRPS1,LINC00960,PRKCE,AC068282.3,RPF2
LCORL,ZNF3,RPAP2,WDR33,SLC38A7,DHX40,RHBDD3,USP46
SLC7A5,IQCH-AS1,RP11-420A23.1,IMMP2L,RPLP2,NEDD1,KIAA0141,MB21D2
AXIN1,IPO11,SOCS7,XPR1,PTCH2,TOMM70,PKNOX1,VPS51
GTF2H1,CMBL,UBR5,IPMK,IPO8,ESYT1,C2orf76,SLC16A1-AS1
CASP3,ZNF595,MTOR,SIKE1,CCDC77,LMF1,IMPACT,GPR161
ZDHHC5,SGO1,ANKMY1,GALNS,DAXX,HDAC3,LINC01128,TMOD3
RCL1,SOCS4,NIPSNAP1,KRBOX4,PHF10,AGAP1,BRF1,PCTP
INTS8,HS2ST1,FBXW8,SPCS1,DARS2,TAF3,PEMT,MESDC1
ASAP1,LARS2,LRRC58,NDUFAF7,UTP11,HSCB,ZNF473,WFDC1
PHF20L1,RSAD1,C6orf222,PUS10,SORCS2,RRAGB,PDCL,CECR5
MSH3,NCOA5,CMB9-22P13.1,LINC00662,KIF4A,RAP1GAP,ACLY,SRGAP2B
FAM21C,SH3BP5L,DTNB,LINC00504,GPR157,AK9,GSK3A,ATP10D
KPNA6,OTULIN,CSNK2A2,CLIP4,ASNSD1,FAM45A,RP2,SMTN
TDRD3,LRRC4B,DDA1,IFT172,TYRO3,ARHGAP44,ZNF407,NCOA3
ZFP64,CEP135,OR7E14P,MPHOSPH6,YTHDC2,CDK13,SUN2,STAT5A
FURIN,NUDT6,RWDD4,ETV3,CENPJ,LGALS8,THOC5,GOSR1
SLU7,PEX1,BICDL1,CNOT8,ARSJ,FAM188A,TBC1D17,ADARB2
ZNF37BP,CEP55,TMEM106B,DNAJC27,SMG9,SPPL3,METTL9,UBR5
NUP85,GPR176,MVD,ZNF266,CADM1,MFSD14C,GINS1,HMGXB3
RHOT1,PLAA,SLC16A1,ZFP90,USP49,STAM2,NOB1,SLC9B2
SP3,TTPAL,SLC30A7,RP11-283I3.6,FAM134A,NBEAL2,MRPS30,MAP3K6
WHSC1,UTP11,ANKRD22,VKORC1L1,ASTN2,MCM9,C19orf52,PURA
SS18L1,GBA2,MKLN1,TIAM1,HSPA13,WDR91,MRE11A,WASF3
SIRT2,SLC4A2,BIK,EMC2,NPR3,NF1,ERI2,TECPR1
ZNF592,CLCN7,PPP2R5E,DDX18,TRNT1,VTA1,USP18,PTAFR
CD72,C16orf70,MDFI,FAM65A,SDC3,PARK2,ZSCAN5A,APC
ZMYM5,SMAD7,EEF2K,NDUFAF1,PRELID3A,ZDHHC1,GATC,CD276
AP1B1,EPM2AIP1,TRPC6,MARCO,SRFBP1,SEMA5A,PPP2R3C,TMEM44
XPR1,STK25,SRPK1,MESDC2,NUDT12,SPATA5,MINA,ZFHX4
NUBPL,C5orf51,KIAA0895,MEST,MED19,ACTR3B,SPATA7,UGCG
DHX40,RAB11B-AS1,RPTOR,G2E3,FBXO6,ELP6,PARPBP,RAD23B
SPATA5,WHRN,CABLES1,FOXRED1,C11orf1,KLHL23,OTULIN,ASXL1
CMAHP,POLR3F,SYNE2,TSSC1,HYLS1,LDLRAD3,PTRH1,WDR41
MACF1,ADAL,APOO,PI4K2B,KRBOX4,IFT57,XPO5,SNX24
LRIG2,PANX1,MED14,RSBN1,RP11-180P8.1,TRIM4,ZBTB2,TTC27
HIVEP2,PARP6,CARD10,HEXIM1,MYT1L,MAN2C1,GOLGA1,ARHGAP26
SLC8B1,MEMO1,RP11-356J5.12,WRNIP1,ZC3H3,TMEM14A,PSMC2,GSTA4
MIGA1,BBS7,CAMK2D,VPS53,DIXDC1,WDR35,LRP12,CPED1
RANBP10,SIRT1,PNPT1,PIGG,TFPT,IPO5,CENPA,CPXM2
BTBD10,KIF4A,STX10,CNOT6,EXOC5,DAPK1,BAHD1,HNRNPH1
RPTOR,DZIP1L,MICAL3,SLC16A12,SPINK4,FARS2,FBXO46,FRS2
RP11-423H2.1,HSPA13,AHCTF1,USP46,OTULIN,ASAP3,ASB13,RIC1
ZNF652,PI16,ERAP1,RRP12,FGD4,ZDHHC21,NKIRAS1,KLHL7
INPP4A,TRAF6,FAM210A,PIN1,INTS12,CRELD1,DVL3,FAM91A1
JADE3,ATAD3C,GANC,AVPI1,CEP131,PRRC2A,MYT1L,PDHB
AP2A1,OSGIN2,STK32A,PCNT,ZNF519,SSBP4,SPTY2D1-AS1,CEP83
REPS1,YARS2,CEP104,ICE2,ZBTB1,ZNF611,CH17-340M24.3,VASH1
MRPL39,FICD,VSIG2,CHIC1,ACLY,SLC29A4,PC,L3HYPDH
ORC3,ZNF621,SLC18B1,RAB26,RPL31,RPS6KC1,MOV10,AC007319.1
JMJD6,ZBTB10,SNX9,KMT5A,MIER3,SH3GLB2,ENTPD4,NRP1
C16orf52,VPS18,CBX1,ZYG11B,ZCCHC9,DHTKD1,SPRTN,OXCT1
GPR132,TAB1,AHCY,HEXDC,LMNB2,EFTUD2,SCAMP1-AS1,PRELP
AKT3,POLR3A,VPS13D,GOPC,RNF14,CSTF1,TMEM126A,PEX11B
ARAP1,CEP131,BMX,OXCT1,STARD4,RP11-187C18.4,C19orf25,TBC1D10A
CARS,GOLGA5,TMEM127,CPSF3,HSD17B14,SLC2A10,PMS2,MOV10
KIAA0196,LGALSL,CCDC146,USP1,DKC1,AGO4,SEPT8,LINC00667
NADK,ORAOV1,MAML1,PPFIA1,NOVA1,KIAA2026,ZNF440,CNOT10
GIT2,USP5,CARS,INPP5A,STK39,GPATCH8,TMEM254,CLIC5
NOD1,FBXO25,SMARCC1,GTPBP4,GMEB1,TMED8,PDCD7,LINC00578
TRA2A,NOM1,DHX8,PGM2,TMEM39A,PGPEP1,CEP131,WDR7
KIAA1468,PPM1L,PLCB3,NRCAM,ZNF57,CEP89,SLC4A1AP,DNM1
ZNF266,SEPT8,DLD,CCDC3,CEP55,FBXO34,DBT,PARD3B
IL2RA,PAN2,CCAR2,KIFAP3,LINC00674,CC2D1A,GNB1L,SLC16A2
KIAA1147,DALRD3,NRIP1,TRMT1,MIR4458HG,USP46,ZNF134,NAA35
MTO1,MTG2,TRAF3IP1,PQLC1,STOX1,YBEY,PTPDC1,ATF6
MAP7D1,MAFG,PCGF2,ABCB9,AC105760.2,TRIM37,LMNB2,KSR1
CUTC,APC,RNF40,SPOCK1,KIF2C,TBL1X,ZNF805,RP5-1085F17.3
APH1B,IPPK,TYW1B,BAX,FCF1,USP45,ZRANB3,MFAP3
LIMK2,DYX1C1,FAAH2,TMEM45A,HIST2H2BF,AGTPBP1,AK1,ABCA6
LINC01004,FN3K,ACOT9,RANGAP1,PAMR1,ULK1,HYLS1,RRP1B
SIPA1L3,FMO1,FBXO22,INTS6,GTF3C4,ZC4H2,TSTD2,AK1
RAD51C,UBIAD1,TMEM38A,ASTN2,HYKK,ANKRD33B,TOB2,MIER2
PHRF1,SNUPN,LSG1,SNHG12,HECTD2,PHACTR4,AOX1,GATA2-AS1
CAND1,ASNSD1,FAM83H-AS1,HAUS5,EXOC8,RP13-188A5.1,ZNF252P,BRMS1L
NSUN6,LMNB2,TBC1D32,KDM3A,TBRG4,PRPF40B,ST7,MAPRE2
CAAP1,KCTD10,TRIM26,PGM3,ATP6AP1L,NIT2,GALK1,PDCD10
OTUD4,KIF23,CAMSAP1,BRI3BP,GBA2,DHX57,C2CD3,AP001347.6
PRKD2,MELK,HMGXB4,ZBED5-AS1,SNRNP48,THUMPD2,FAM207A,ANKRD26
BLMH,DUSP7,TOR1AIP2,PLTP,CFAP53,RTTN,CEP57L1,BTAF1
C6orf62,RP11-295K2.3,ANO9,ETV6,RP1-69D17.4,EIF4EBP2,HMBS,P4HA1
CNOT8,FANCA,TCEB3-AS1,KLHL18,FAM8A1,MNS1,NPHP4,NAT10
UBAP1,IL6R,MISP,RP5-1198O20.4,ROBO2,CYP7B1,MRPL58,KLHL3
C18orf25,ZNF34,NAA16,CEP162,CA5BP1,NCOA2,ZNF271P,SEC24A
EP300,HIF1AN,PSME4,IPO8,POLR1A,DNAJB12,TTLL3,API5
UBL3,RPH3AL,ZNF846,TDP2,PPARG,IFNLR1,C18orf25,LRP6
RARS2,ZNF623,FMNL2,DHX8,TIMELESS,KIAA1147,SMG9,SLC30A9
ZNF84,ZUFSP,SLC9A8,THAP12,AC093590.1,CRYBB2P1,ATG2A,PIGX
DHX29,TXNRD3,MTMR1,BMPR1A,C2orf47,ELOVL2,TK2,MAPKBP1
LPCAT2,ZNF813,TMEM120B,HIRA,CCDC40,RNF111,GRAMD4,DUSP11
PAPSS2,SPINK4,FAM83E,TNFSF13B,HDX,RMI1,ASUN,TIMM50
RCAN3,MFAP3,PYROXD1,BCOR,PPIL6,MLLT10,CLCN7,FOSL1
DMXL1,SNHG12,COG4,TRIM61,UBIAD1,ATP9B,VEZF1,VSTM4
DPP9,FBXO18,NRAS,MECR,TGFBRAP1,CROCCP2,LETM2,SLC38A6
PRMT3,SLC2A14,GGA1,PLK3,CELSR2,TCF20,ZNF487,RILPL2
ITPR2,CIZ1,LINC01137,DNAJB12,RPL23AP82,NVL,BNIP1,NOL10
SRP68,EZH2,MLLT6,RABEP2,HEATR1,CCNYL1,ARL6,SS18
AKAP13,NCK1-AS1,FHIT,KCTD9,CLCN5,HLTF,TMED8,CDA
STXBP5,CLK4,ACOT7,LSAMP,GALK1,ZNF226,RBBP5,SMARCA5
CREBL2,DPH7,LRRC28,HEATR6,RP5-994D16.12,ALKBH3,MRPS18A,ACACB
SLC10A7,ENOPH1,HEATR5A,RP11-83A24.2,NACC1,MTMR2,KIF11,MLLT6
SLX4IP,ASUN,ATG14,PER3,CEP57L1,DNAJC11,AC005062.2,UBTD2
GMPS,SLC38A7,WTAPP1,PCCB,RBM43,LONRF2,HCFC2,RHOQ
GCLC,CD276,TMEM181,FAM21C,SFRP1,CTDSPL,PRPF18,SNHG18
SUFU,KLHL21,SNX19,SLC19A2,MTURN,CEP95,TAF9B,CHST7
NAPA,TP53BP2,COG6,PAFAH2,ZBTB21,DOCK1,PRMT5,HUS1
RASGRP2,L3MBTL2,SLC25A16,CEP89,CTSV,TMEM44-AS1,TRAF2,TTLL5
POLG2,B3GLCT,DNPEP,GABARAPL1,POLR3A,MAML1,STPG1,HMGN5
MSI2,CEBPZ,ELMOD3,HPS3,TBC1D20,CYFIP1,C5orf22,ANKRD13C
CCDC7,FUT10,RAB26,MTOR,DUSP14,ZDHHC5,MRPS22,TBC1D2
IPO5,MLH1,MRPS21,IPO9,HSDL1,KIAA1429,XXYLT1,PTPDC1
MVB12B,CDK7,GNA11,RFWD3,CCDC173,UBE3B,SOCS4,DFNB59
RNF185,KIF2C,EFL1,BIRC3,FAM111A,H6PD,TSHZ3,YTHDC2
CCDC66,ANKRD19P,MESDC2,PGM2L1,ABTB2,ECHDC2,MFAP3,NAIP
ZNF644,MBTPS2,DEGS2,LIMK1,FANCI,C1orf27,NFKB2,NR2F2-AS1
ANKRD13D,B3GALNT1,HSD17B7,RPL39L,DNAJC11,DNAJC27-AS1,DUSP22,DIXDC1
FERMT3,MAPKBP1,VPS72,TRNT1,FAM234B,SDC2,PIK3IP1-AS1,MAP7D1
IL15,USP31,ERLIN1,DNAJC24,MIEF1,CIAO1,RILPL1,MLXIP
RHBDD1,RILPL1,RASA2,ELP6,EXOSC10,DCAF1,CNOT8,MRAS
CEP120,TRIT1,RDH11,COA7,SPTLC3,HNRNPH1,KDELR3,DUSP14
NXPE3,ST7,NLN,DTYMK,RPL12,PEX11B,HEATR6,HERC2P9
RPS6KB1,MYLK,PEAK1,CWC22,C5orf51,WDR66,EZH2,PRKCE
UBXN11,APIP,PDE6D,FAM118B,IKBKAP,HEXIM1,TRIT1,MRTO4
ABCA7,B4GALT2,FBXW7,SGF29,FBXO18,CCDC82,FEZ1,EXOG
GPR155,C19orf18,TCF12,L3MBTL3,PHF7,TNFRSF19,ARL10,ARHGEF11
UHRF1BP1L,WNT5B,OVOL2,RNF138,SENP1,IQCE,SPATA33,CAMK2D
HIVEP3,CHMP1A,RARG,MLH3,CARM1,UPF1,MARCH2,NTRK3
HMGXB4,CENPBD1,KIAA1468,LRSAM1,RPS3,FUCA1,EYA2,LOXL1
LY86,FUT1,SLC50A1,SLC25A12,MOSPD1,SAV1,ZSCAN31,GNA12
GS1-124K5.11,NOVA1,NUFIP2,CTC1,RFC2,NAMPT,PPP4R1L,TOR1AIP1
FBXO31,OLFM2,TOR1AIP1,BDH2,RPIA,PRKG1,FAM131A,RHOU
TUBGCP3,SLC25A16,SLC38A9,TMEM254,SLC12A4,RNF170,RP11-115C21.2,XXYLT1
GGA1,PAFAH1B3,LINC00342,GXYLT1,USP5,AGBL4,WHRN,RARA
HS2ST1,ENDOD1,OTUD7B,THAP6,AP1G1,SPSB1,TMTC4,MLLT10
PLGRKT,COMMD5,RALGAPA1,FAM76A,L3MBTL2,RNF207,MED28,STARD4
POU2F2,BRI3BP,PGAP3,PHYKPL,RPS23,ZSCAN18,EDA,ZNF155
HIVEP1,GRK4,TTI1,SLC9A6,MAD2L1BP,ANAPC1,SNHG12,WDR25
LENG8,BNIP1,CUL3,MCRS1,DLD,TEX2,LRRC4B,POFUT2
PELI1,RPUSD4,MUTYH,MIB1,ST6GAL1,KLF3-AS1,FADS3,TADA2A
SLC30A5,RABL6,STK25,GPR89A,RPS12,COX19,APOL6,RNF40
MRPL10,TBRG4,ANKRD13C,ZNF362,MYL12B,ZNF75A,REC8,MEOX2
LINC00426,DIXDC1,NUMB,PGAP1,ELMOD2,BAP1,ZNF503-AS1,ZNF333
PRRC2A,ZSCAN31,DHFR,NSUN5,CRTAC1,SLC6A16,FHL3,SLC25A12
SNX10,APOL6,HOMEZ,KIAA0368,SAT1,RP11-418J17.1,CDKL5,KPNA2
SLC9A7,ZNF616,TMCO4,WDR47,FBF1,AC017060.1,NUS1,TARID
RRM2B,PPP1R26,HGD,SLC2A13,HEXIM1,ZNF211,UBQLN4,EFCAB13
ZNF431,C12orf10,TPTE2P5,CDKL5,RPS14,ALDH5A1,POT1,WSB1
UQCC1,R3HCC1,MAN2C1,CEP104,PAPPA,NFYC,FAM175A,TEX10
NADSYN1,EXOC8,ARNT,EPM2AIP1,FAAP100,GAS2,ANKRD50,WWC2
NARF,SLC39A6,GPAT3,SLC36A4,FGF12,NIPAL3,ATAD3C,ADAP2
MED23,CEP68,ACSF2,ZNF251,NIPSNAP1,VEGFB,HEXIM1,TSR2
GATA3,AC004112.4,ANKS1A,TEP1,NELFB,ZNF263,PYGL,UTP6
ITGAX,POLR2M,FAM101A,ZNF124,C5orf22,DNAJC15,ELMOD3,R3HCC1
KLHDC1,EGR1,ACP6,COX10,LEO1,CREBRF,CLK4,ST7
SMARCAD1,ADPRHL2,CTDSPL2,ZNF562,WDPCP,FAM104B,BCL2L12,COL4A5
TCIRG1,SPTLC3,PCLO,SGCD,AC091729.9,KCNK5,SPTLC3,TCN2
IVD,YIPF2,DPY19L3,SESN2,CORIN,MKLN1,SLC27A1,MLH1
CSE1L,MIEF1,AC069277.2,TNS3,LINC01315,LRP6,SIAE,WDR48
CAPZA2,COL8A2,MIGA1,UEVLD,LIN52,CTBP2,STARD4,PLXDC1
UTP6,MAD2L1BP,COLGALT1,ABI1,B3GALNT1,LRCH3,C12orf4,CDKL5
DRAM1,PARP2,KLHL7,MED24,IMPA1,TYMS,LINC01088,RLF
CSF3R,SUN2,SEPT9,POLR2D,MAN2C1,USP37,PLCB3,SCFD2
RMDN3,GTF2H2C,LCORL,SMARCD2,ZNF155,BACH2,YKT6,TCEB3-AS1
ZNF43,UBE2Q2P1,ACOT11,NEK4,POLA1,GOSR1,VANGL1,USP37
ARAF,TRAF3IP1,RP11-313J2.1,KLHL8,MRAS,USE1,COMMD5,PDE4D
KRR1,GIN1,DPY19L2P2,MFN2,RRM1,KIAA1522,RELA,THSD1
RHOG,TSPAN18,CENPT,NUDCD2,ANXA2,DENND4A,XPNPEP3,RALGAPA2
PDPR,LUCAT1,PHKB,MED30,PLCB3,ARHGEF11,LARS2,UPF1
ANKRD27,PDCD7,TTC39B,MCPH1,HINFP,MYEF2,SLC35E4,PCDH7
FAM160B1,PHF7,EGFR,AK5,B2M,THRA,RABEPK,PALM
NFKBID,TDRD7,LIMA1,C2orf76,ZCCHC4,LRSAM1,ZNF275,IL6ST
PEX11B,ZNF557,PDE9A,BCL9L,SHMT1,OVOL2,BPNT1,LRRK1
ARRB2,TTC21B,CCT5,KLHL23,TPT1-AS1,GTF2H1,LRRCC1,RSL24D1
RP11-156P1.3,PLCB3,AMN1,UBA6-AS1,ZNF350,CWC25,PLEKHA4,FRYL
F2R,TOMM40,TARS,APPBP2,SOCS4,COG7,CLK2,PRPF4
PCNT,GALK1,ZNF827,MRPL37,ARL8A,RFX3-AS1,LRP6,C14orf119
DIS3L2,LRP12,BRAP,EXOC6,TRAF6,MBTD1,SMU1,GTF2H2
USP14,SNAPC3,UBE2G2,FDX1,SCUBE2,CSRP2,ZBTB45,ROBO2
KIAA1109,RPL23AP82,RANBP2,PURA,CEP152,USP30,HDX,VGLL3
UPF1,CSNK1G1,CEP95,RAB11FIP3,NUMBL,HIP1,GAS2L1,C2orf69
UNKL,KDELR3,KDM6B,RP2,CTRC,CTIF,USP46,SPATA5
FMNL1,BCL2L12,FBXO46,PSPH,S100A11,SNAP29,VPS18,SLC24A3
PDCD10,ACTR1A,USP40,LONRF1,MND1,SMARCA4,ZBTB10,FBXO11
ZNF430,AAR2,CANT1,ZBTB25,RPS29,DNAH7,NFKBIB,HDAC3
SDS,ZNF565,CCDC112,LDAH,MEX3D,FAM63B,AP5S1,FCN3
ANKRD17,PRH1,NCAPD2,LINC01004,NAALAD2,THRAP3,ATP6V0A2,TBKBP1
SOS2,WNT2B,MTERF1,REPS1,C17orf51,CACHD1,DHFR2,LAYN
CACUL1,GORAB,CAMKMT,HIGD1B,RP11-473M20.9,NR1H4,ELK1,C14orf37
SHC1,BIN3,SPATA7,STK32C,RAB35,MIB1,SMURF1,IL34
GOPC,MAPK3,LAMC2,FAM21A,HLA-B,EIF3J-AS1,BRAP,NXPE3
BRF1,RPF2,FCF1,MRPS30,C19orf52,RSPH1,DHX37,PSMF1
SNAP29,HDX,HSPBP1,SZT2,RPL11,PPFIA1,TIMM21,ZRANB1
LARP4,CROT,TASP1,USP40,PDCD2,RP11-141M1.3,UBE2Q2P1,HMCN2
SASH3,ERLIN1,PTK2,LRRC75A-AS1,OLFM4,SLC27A1,NUP155,THRAP3
HPS4,SPATC1L,XPO4,KCNMA1,RAC1,CSNK2A2,MYLK,MLH3
