topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
0.0799423,0.024132008,0.010466351,0.016782422,0.017739458,0.029223444,0.015689341,0.01775039,0.06440067,0.014780035,0.02373133,0.019102154,0.43045652,0.07515691,0.07422434,0.01891788
0.04202814,0.018392662,0.00815705,0.014596931,0.016696239,0.026347658,0.015362305,0.014917821,0.035299122,0.0130455615,0.021357698,0.01606004,0.030118234,0.043147914,0.047383357,0.01650839
0.03753961,0.016203297,0.0076317494,0.013442681,0.01466131,0.020464348,0.011567204,0.0148123335,0.0069573503,0.010676812,0.01574471,0.014011516,0.023273936,0.032684382,0.0362445,0.016462984
0.032117,0.015820568,0.0059896973,0.012195727,0.013971094,0.019349055,0.011554207,0.014371729,0.0066833636,0.01046682,0.0141796,0.013698864,0.02153344,0.0159519,0.028471107,0.014696973
0.030894764,0.012089538,0.0058552497,0.011924581,0.013469123,0.01688659,0.011216935,0.01417516,0.006145722,0.010145234,0.014110951,0.012540932,0.020964026,0.012553645,0.023458173,0.012573865
0.029217802,0.011765845,0.0055781794,0.009718785,0.012943695,0.016824592,0.010439918,0.01411412,0.0059476355,0.009726745,0.013636922,0.012101004,0.02041146,0.010558292,0.019585306,0.011679594
0.028488679,0.0113264825,0.0054626656,0.008956661,0.012315016,0.016756441,0.009359264,0.01381843,0.0056847637,0.009182516,0.011455536,0.010382004,0.019705463,0.009263719,0.017717283,0.0099147055
0.026015528,0.011175367,0.005165422,0.008750941,0.011669723,0.016189171,0.009002957,0.013772199,0.005185542,0.009160527,0.011228846,0.010353084,0.018838497,0.008140785,0.013449683,0.009804403
0.025422383,0.011134994,0.0048423824,0.008646688,0.011203629,0.013014421,0.00898563,0.013032517,0.004945975,0.008582128,0.011039188,0.010307353,0.017819192,0.007980009,0.012729807,0.009506525
0.024727117,0.011090578,0.004787519,0.008614696,0.0101192705,0.011212149,0.008742441,0.0126637295,0.004944819,0.008491541,0.010312761,0.009405156,0.017605774,0.007684039,0.012522431,0.009466302
0.023390096,0.010857982,0.004607156,0.0071236775,0.009933725,0.010870129,0.008498221,0.010515986,0.004933952,0.008258439,0.010290538,0.009382177,0.014891531,0.0074371435,0.01205296,0.009440471
0.023254387,0.010707448,0.0045125163,0.007064669,0.009840434,0.010778032,0.008402057,0.009464699,0.0049290797,0.0077617406,0.010218785,0.008453537,0.013546177,0.0074336333,0.012033606,0.008784136
0.021622444,0.010579414,0.0043484145,0.006694252,0.009746328,0.0103720045,0.0083184615,0.009337186,0.004854161,0.0077405255,0.009870996,0.008340274,0.01229505,0.007389887,0.011836805,0.008482148
0.021561738,0.010236254,0.004189961,0.0065096747,0.009615617,0.01005014,0.007853238,0.009054892,0.0043030675,0.0077209515,0.0095933,0.008314963,0.010122827,0.0051556234,0.011180937,0.008143794
0.019274427,0.010134023,0.004121227,0.0064631198,0.009411854,0.009271674,0.007653443,0.008854064,0.0043028253,0.0076333503,0.009393476,0.00825471,0.009873265,0.005096977,0.0111730015,0.008073031
0.015348497,0.009326253,0.004098408,0.006199886,0.009162711,0.009177744,0.0074559445,0.008766866,0.0042264313,0.007498162,0.00939129,0.00816761,0.009517492,0.0050567146,0.010289454,0.008068967
0.015191404,0.00922269,0.0039452217,0.0060479892,0.009159366,0.008711335,0.007346591,0.0082364,0.0042228173,0.007454917,0.009329936,0.00807016,0.009332311,0.0049440814,0.0101156,0.008023012
0.014677692,0.009144681,0.0038831083,0.005933104,0.008473267,0.008692256,0.0070175836,0.0077035567,0.004194457,0.0073743355,0.009233215,0.00795016,0.008775289,0.0049315975,0.00942105,0.007912061
0.013910941,0.009123234,0.0038415855,0.0059320005,0.008343308,0.008529394,0.0069094454,0.0076389434,0.0041610575,0.0072654714,0.00921476,0.0077403076,0.00766061,0.004827742,0.009174489,0.007886959
0.0134204645,0.008708523,0.003806078,0.005838552,0.008293434,0.008377841,0.0067659765,0.0076283365,0.004062477,0.0071657076,0.0090615135,0.0075593814,0.0073814346,0.0048190067,0.00903809,0.0078067835
0.013318362,0.008515793,0.00376563,0.0058306786,0.0082375,0.008342179,0.0066591427,0.0075328154,0.004024878,0.0070145163,0.008899775,0.0074673872,0.006642018,0.00481665,0.008957708,0.0077876286
0.013211101,0.008341204,0.0037564912,0.005807222,0.008177223,0.008087082,0.006631201,0.0072467946,0.0039048865,0.007006092,0.008420032,0.0074192593,0.006583404,0.0047601345,0.008637639,0.0075175045
0.011610141,0.00808145,0.0036627834,0.005553161,0.008029599,0.007913439,0.006628723,0.007083089,0.0038978027,0.0070050964,0.008252096,0.0072481874,0.0064357095,0.0045262305,0.008569733,0.0074921753
0.010734267,0.0074928473,0.003653145,0.005432293,0.0080256555,0.0076399925,0.0064898827,0.007043844,0.0038499313,0.0069316244,0.0082069775,0.007240339,0.004935689,0.004441408,0.008527426,0.0074752104
