,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
SNX11,8.1250534e-10,2.3499815e-09,3.582642e-05,5.373652e-10,6.000442e-09,1.0788859e-09,2.356027e-09,2.6648699e-09,1.9006337e-07,6.7046337e-09,1.9459379e-09,2.8965315e-09,2.6749285e-08,6.599287e-10,2.066657e-09,3.5749452e-09
M6PR,6.736339e-11,0.0036932945,9.5640836e-11,1.2560462e-10,3.055712e-10,1.3795837e-10,2.1411593e-10,2.4845892e-10,1.335469e-10,2.8291242e-10,1.9703175e-10,2.304941e-10,5.5930212e-11,7.9947805e-11,1.401047e-10,2.6949853e-10
KLHL13,1.3076163e-07,1.3708643e-07,1.6574222e-09,3.0294197e-05,6.0290313e-05,3.9669654e-09,1.0728022e-08,1.01850475e-07,3.2453478e-09,5.3199823e-05,5.648011e-09,1.2107801e-08,9.661365e-06,2.523058e-05,2.9453062e-09,1.538225e-05
ICA1,1.6387086e-10,0.0037451233,3.574323e-10,7.8771445e-10,1.0037657e-09,3.5962056e-10,6.7552175e-10,7.5979933e-10,1.5732736e-09,9.423105e-10,5.703739e-10,6.998318e-10,1.6849805e-10,1.6993558e-10,3.6824632e-10,8.2667573e-10
DBNDD1,6.824334e-10,4.4437396e-09,4.6664443e-08,2.5268032e-10,6.969974e-09,1.4486629e-09,2.5157727e-09,4.1714823e-09,2.8733014e-06,1.0085082e-08,2.5277684e-09,4.9091926e-09,6.828839e-10,1.5195039e-05,2.342803e-09,8.5033875e-08
ALS2,9.221021e-10,5.3780225e-09,1.6980706e-05,5.7771605e-05,1.596079e-08,2.1593003e-09,6.280869e-09,5.80778e-09,9.866083e-05,1.1685875e-08,4.070314e-09,5.28392e-09,4.871029e-06,0.0002078474,3.5999546e-09,5.334675e-09
CASP10,3.499157e-10,1.4827114e-09,2.2563247e-05,4.9242168e-05,2.4262943e-09,7.60111e-10,1.5357914e-09,1.6765532e-09,0.0006340382,2.2492388e-09,1.3636235e-09,1.58127e-09,5.5207827e-10,9.422063e-10,7.9552503e-10,1.845134e-09
CFLAR,1.2730816e-10,5.0654686e-10,3.4437844e-10,2.687768e-10,6.8217176e-10,2.7206903e-10,4.543221e-10,5.2401283e-10,2.590388e-10,6.351401e-10,0.006370566,4.906719e-10,1.2741651e-10,2.0609561e-10,2.717926e-10,5.6740734e-10
NDUFAF7,9.770783e-10,1.1236568e-08,2.0081876e-05,5.100614e-06,3.595083e-05,2.3920521e-09,1.5031228e-08,2.1163252e-08,1.2261821e-05,3.778258e-05,7.213617e-09,2.238156e-08,6.313886e-06,5.4392517e-06,2.511908e-09,1.362402e-05
RBM5,1.3474226e-10,6.498437e-10,2.5917865e-10,3.0964886e-10,8.6497004e-10,3.2247802e-10,5.615375e-10,6.712807e-10,3.3975986e-10,8.235895e-10,5.068755e-10,6.19402e-10,0.00041190383,7.872038e-10,3.0609096e-10,7.791107e-10
SLC7A2,3.641657e-07,6.45259e-10,1.4817805e-10,0.00041552653,7.6335965e-10,3.9452996e-10,4.9887056e-10,6.2928335e-10,2.5365332e-10,6.9611616e-10,4.696012e-10,5.6429467e-10,1.4208647e-10,5.144817e-06,3.0615402e-10,7.154228e-10
SARM1,1.4587387e-09,2.3763326e-08,1.18729995e-05,2.3798468e-09,4.5659497e-05,2.667041e-09,1.3409427e-08,5.0106532e-08,2.9161276e-05,5.835997e-05,7.1720065e-09,4.6280636e-08,7.6645597e-07,2.6053836e-05,4.0531326e-08,3.4297358e-05
POLDIP2,1.1019494e-10,4.082254e-10,1.6596928e-10,2.3530977e-10,5.1790794e-10,2.2517488e-10,3.5599262e-10,4.147062e-10,0.00083337975,4.671605e-10,3.2702505e-10,3.8249587e-10,9.410528e-11,1.693748e-10,2.2540135e-10,4.3731668e-10
AK2,6.058743e-11,2.2360545e-10,7.8597316e-11,1.13202586e-10,2.7180863e-10,1.2348454e-10,1.9083207e-10,0.0025049734,1.2002457e-10,2.5224164e-10,1.7564723e-10,2.0574055e-10,4.8944807e-11,7.270505e-11,1.252699e-10,2.4276262e-10
CD38,1.645612e-10,4.6616e-10,0.00011621461,2.2296875e-10,6.761534e-10,2.9240013e-10,4.5819992e-10,4.9025184e-10,2.3211409e-10,6.3652383e-10,4.2666426e-10,4.806549e-10,2.1391715e-10,9.7648174e-11,3.2029635e-10,4.8647936e-10
RBM6,1.7000278e-09,1.0132938e-08,0.0030708425,0.00049202127,1.771196e-08,2.4223823e-09,5.4748455e-09,9.332906e-09,0.00014800846,1.1584746e-08,4.0381303e-09,6.1558394e-09,1.4826916e-09,0.0006850012,2.3840492e-09,4.421144e-08
CAMKK1,7.589028e-10,2.416669e-09,2.3072032e-05,0.00011832312,6.080398e-09,1.4676528e-09,3.4448437e-09,2.855413e-09,4.8116863e-06,9.10663e-09,2.8350624e-09,2.7135763e-09,2.422743e-07,3.064748e-10,1.8039976e-09,2.7943794e-09
RECQL,3.1086567e-09,4.3963965e-08,1.4724279e-05,1.576294e-05,2.25671e-05,6.8477157e-09,3.845874e-06,7.9752414e-07,1.5717674e-06,1.8366598e-05,2.3547692e-07,1.4154024e-06,9.3646736e-07,3.3567493e-09,2.313413e-08,5.19995e-06
VPS50,2.3842753e-10,1.0611589e-09,5.0925064e-10,3.6923378e-10,1.4036664e-09,5.3990895e-10,9.0562197e-10,1.0862365e-09,6.48473e-10,0.0021083925,8.392105e-10,1.0230421e-09,2.4295346e-10,1.0262492e-09,5.213381e-10,1.2632907e-09
NDUFAB1,6.3401895e-11,2.3632357e-10,8.400236e-11,1.1923872e-10,2.8839994e-10,0.002681318,2.0186357e-10,2.355383e-10,1.269648e-10,2.6779226e-10,1.8560185e-10,2.1781907e-10,5.183217e-11,7.8786436e-11,1.3163025e-10,2.5739136e-10
SLC25A13,5.1217686e-10,2.2354203e-09,5.1433577e-05,1.1261023e-05,3.534637e-09,1.2110751e-09,2.3116695e-09,2.3459867e-09,0.000103322716,3.4221979e-09,1.9215216e-09,2.2055495e-09,1.5118918e-09,3.0878833e-10,1.4193621e-09,0.0037148888
ST7,9.498552e-10,7.424995e-08,1.6416684e-06,2.224655e-05,4.4551973e-05,3.47075e-09,4.125253e-08,1.0406915e-06,7.743367e-06,4.45343e-05,9.32184e-09,3.5414413e-08,3.6712988e-06,1.37290135e-05,2.6783837e-09,2.0711914e-05
CDC27,4.0343018e-10,2.1389932e-09,0.00092006655,0.00016771395,2.3363016e-09,9.333774e-10,1.6503245e-09,2.0673943e-09,1.97227e-09,1.9569737e-09,1.4039663e-09,1.7125086e-09,3.5139383e-10,1.9543702e-09,9.942253e-10,2.271797e-09
DVL2,1.0981984e-09,2.1357042e-08,4.9212467e-06,2.5637532e-09,1.09793045e-05,3.995418e-09,2.7596137e-08,1.5926891e-07,3.7859618e-09,1.0640918e-05,2.1492385e-08,2.5415227e-07,1.2159479e-06,5.074584e-06,3.02397e-09,3.7265324e-06
PRSS22,6.710051e-11,2.6035787e-10,8.7293166e-11,1.2068707e-10,3.182484e-10,1.418057e-10,2.2151692e-10,2.5944424e-10,1.4970099e-10,2.9199104e-10,2.0328932e-10,2.3979116e-10,5.5580124e-11,9.183228e-11,0.00062520744,2.8108635e-10
UPF1,8.558714e-11,3.2443864e-10,1.3744043e-10,1.7004291e-10,4.116917e-10,1.792387e-10,2.8368566e-10,0.0012672059,1.6955161e-10,3.7476092e-10,2.6002683e-10,3.045303e-10,7.4374285e-11,1.1331946e-10,1.7978001e-10,3.478761e-10
SKAP2,2.148056e-10,7.82075e-10,3.3565255e-05,7.6010416e-05,1.1238211e-09,0.0019621002,8.060578e-10,8.211363e-10,1.0332925e-09,1.0473288e-09,6.8612305e-10,7.717703e-10,3.302513e-10,1.12352065e-10,5.122423e-10,7.7856993e-10
MCUB,1.651306e-10,4.8593685e-10,0.0010192769,7.2501805e-10,6.06536e-10,2.9358818e-10,4.4366236e-10,4.8961357e-10,2.5583882e-10,5.2706206e-10,3.985575e-10,4.4929296e-10,1.388321e-10,1.0051293e-10,3.3192038e-10,4.680818e-10
DHX33,6.7158423e-10,1.5501836e-08,7.5135868e-06,1.8233386e-05,2.7688104e-05,2.2393591e-09,2.0973383e-08,4.5437286e-08,8.595979e-06,3.5289388e-05,7.2708035e-09,2.4802073e-08,1.5546487e-06,1.1016791e-05,2.2893267e-09,1.9475792e-05
MEOX1,8.532118e-10,1.6357553e-09,1.13175986e-07,4.9103073e-05,2.7699272e-09,8.3589885e-10,1.7563392e-09,1.8208535e-09,2.30224e-09,2.4325824e-09,1.3296695e-09,1.6359084e-09,8.7940955e-10,2.8548833e-10,8.508229e-10,1.8350961e-09
THSD7A,2.386168e-10,1.5023653e-09,2.1441386e-10,0.00074013195,1.6991655e-09,6.097467e-10,1.1329574e-09,1.463842e-09,1.2184198e-09,1.50142e-09,9.774717e-10,1.2619589e-09,2.3777358e-10,3.499443e-05,6.2359234e-10,1.8376145e-09
LIG3,1.2613116e-09,1.410289e-06,1.4537255e-05,1.9405663e-06,4.6815e-05,4.0489043e-09,1.0488897e-06,5.7223733e-06,1.2312208e-05,3.5997145e-05,2.8786332e-08,3.384708e-06,4.562004e-06,5.8304195e-06,8.304754e-09,1.9207377e-05
RPAP3,3.409036e-10,1.540553e-09,0.000465722,4.957073e-10,1.8381614e-09,7.193923e-10,1.1609047e-09,1.5048058e-09,9.032707e-10,1.6750253e-09,1.0588642e-09,1.3395309e-09,2.9416666e-10,4.6689664e-05,7.035122e-10,1.8317983e-09
ACSM3,7.3467156e-11,3.0159328e-10,9.8718034e-11,1.3051774e-10,3.75968e-10,1.6068906e-10,2.5478356e-10,3.0336852e-10,1.5260321e-10,3.4656675e-10,2.347239e-10,2.7962227e-10,6.2003166e-11,1.684524e-10,0.0006086128,3.341627e-10
CIAPIN1,9.977145e-11,3.8290315e-10,1.5985024e-10,1.9168571e-10,4.8593685e-10,2.0941661e-10,3.321585e-10,3.8861564e-10,0.0005088483,4.413304e-10,3.06161e-10,3.602288e-10,8.7972955e-11,1.6854079e-10,2.0947694e-10,4.142983e-10
FAM214B,6.1577976e-10,6.168957e-09,7.399428e-06,1.0662484e-05,4.8057107e-08,3.8037387e-09,4.356662e-08,7.974746e-09,1.1961818e-05,5.7820324e-07,2.7711332e-08,9.073133e-09,6.963067e-08,3.910239e-10,3.7299754e-09,6.3590284e-09
COPZ2,5.413939e-10,1.0328379e-08,1.8382813e-08,3.6027832e-06,1.132965e-07,3.8270547e-09,8.759732e-09,1.3722631e-08,1.1615714e-09,1.3661667e-06,1.1642914e-08,1.1151633e-08,3.0244311e-09,2.787619e-05,2.2669144e-09,6.775099e-07
PRKAR2B,6.8448094e-11,0.0017391362,9.158617e-11,1.2477629e-10,3.2703315e-10,1.4533891e-10,2.2621793e-10,2.6631813e-10,1.3535686e-10,3.01507e-10,2.0900282e-10,2.4609176e-10,5.665894e-11,1.1277114e-10,1.4307665e-10,2.9159422e-10
CREBBP,5.486676e-10,2.723833e-09,0.00036726595,0.000113239425,6.4576415e-09,1.2079031e-09,2.7127274e-09,3.2029042e-09,9.472697e-10,7.1252795e-09,2.2679785e-09,2.9439695e-09,1.1185861e-09,0.00034409814,1.1515499e-09,0.005545913
TSPOAP1,3.89498e-10,1.4386126e-09,8.476345e-06,3.79177e-10,2.2215765e-09,7.654533e-10,1.236333e-09,1.5303819e-09,4.977082e-10,2.2478064e-09,1.1747325e-09,1.4569119e-09,7.230336e-10,0.00014964264,7.506753e-10,1.8162506e-09
GCFC2,4.4064236e-10,9.9789e-10,3.384871e-05,8.665604e-06,1.4252952e-09,6.2124417e-10,1.0132315e-09,1.0433511e-09,5.461565e-10,1.2070371e-09,8.735867e-10,9.790913e-10,8.134838e-10,0.0002592613,9.0622326e-10,9.342858e-10
WDR54,1.3314434e-09,5.4532546e-08,1.6845059e-05,4.9127966e-06,3.2910204e-05,2.7042604e-09,2.9108148e-07,1.2166637e-06,1.7951467e-06,1.8328647e-05,1.0161505e-08,2.001674e-06,3.4155416e-08,6.173139e-06,1.0593435e-08,1.4549239e-05
CROT,1.1815915e-08,5.6789354e-06,1.2933403e-05,1.3966795e-06,7.033738e-05,4.5492414e-09,6.6328573e-07,7.284516e-06,1.1657843e-05,4.1262745e-05,1.4474786e-08,4.6946775e-06,2.3565137e-06,1.0116172e-05,5.544518e-09,2.9193081e-05
ABCB4,2.6289232e-10,7.493035e-10,1.25230445e-05,6.859841e-07,1.1919512e-09,4.3423798e-10,7.820631e-10,8.11299e-10,4.1263662e-10,1.1289453e-09,6.711168e-10,7.716909e-10,4.9149895e-10,1.377186e-10,4.8900695e-10,7.967566e-10
KMT2E,3.5809214e-10,1.6701253e-09,0.0055145985,5.6945573e-05,1.893565e-09,7.7509693e-10,1.3349756e-09,1.6440473e-09,1.2216474e-09,1.6088542e-09,1.1562553e-09,1.4083057e-09,3.255389e-10,1.335648e-09,8.0165136e-10,1.785652e-09
RHBDD2,6.531525e-11,2.454004e-10,9.0345634e-11,1.2392719e-10,3.0150127e-10,1.354222e-10,2.1076663e-10,2.450809e-10,1.3350386e-10,2.7802152e-10,1.9368868e-10,2.2693446e-10,5.4004873e-11,8.1002295e-11,0.00087598036,2.6579647e-10
IBTK,2.6585883e-10,1.1262675e-09,4.090672e-10,3.7858086e-10,0.004662575,5.768024e-10,9.451347e-10,1.109604e-09,5.348572e-09,1.2762137e-09,8.4974766e-10,1.0391922e-09,2.871682e-10,3.2623945e-10,5.998871e-10,1.2148091e-09
ZNF195,8.3372025e-11,3.1720485e-10,1.0721486e-10,1.5145926e-10,3.8945264e-10,1.7384907e-10,2.7046665e-10,3.1713893e-10,1.676284e-10,0.0010416874,2.4886063e-10,2.9273325e-10,6.771558e-11,1.2089028e-10,1.7253203e-10,3.373609e-10
MYCBP2,2.0326178e-10,7.396562e-10,0.0004182681,1.3324165e-09,1.1274497e-09,4.0603168e-10,0.0034610294,7.94888e-10,3.6644143e-10,1.0617359e-09,6.3873e-10,7.4987394e-10,3.0997563e-10,1.9129527e-10,4.436344e-10,8.125596e-10
ITGAL,1.3733614e-10,4.3775483e-10,0.00018195406,2.0422085e-10,6.009075e-10,2.545907e-10,4.0604642e-10,4.5285223e-10,2.2551358e-10,5.527231e-10,3.732237e-10,4.3531356e-10,1.3486902e-10,1.1647634e-10,2.7142943e-10,4.658489e-10
ITGA3,1.3514895e-10,5.5829097e-10,0.00094912504,1.6887707e-10,6.1672245e-10,2.9306343e-10,4.4340345e-10,5.300654e-10,9.907818e-10,5.457702e-10,4.0543194e-10,4.90279e-10,1.0038935e-10,1.5640546e-10,3.0006644e-10,5.643851e-10
ZFX,6.9267037e-09,2.6201692e-09,0.00026800155,0.000119637414,4.224472e-09,2.0171125e-09,2.995965e-09,2.7477582e-09,1.5256779e-09,3.3012992e-09,2.631965e-09,2.7063296e-09,5.7395728e-06,0.0008189304,4.1932684e-09,2.2696227e-09
LAMP2,7.198587e-11,2.7119554e-10,9.5420005e-11,1.3388789e-10,3.3049138e-10,1.4935304e-10,2.3138386e-10,2.7049812e-10,1.4483857e-10,3.0615577e-10,2.1320797e-10,0.005316093,5.926413e-11,9.431912e-11,1.501405e-10,2.9477495e-10
GDE1,8.735213e-11,3.214071e-10,1.0999316e-10,1.41279e-10,3.897722e-10,1.7907639e-10,2.7366734e-10,3.1869246e-10,0.0004232322,3.5007863e-10,2.5248278e-10,2.9559133e-10,6.8489235e-11,1.00976595e-10,1.8246872e-10,3.3443753e-10
CRLF1,1.9740916e-09,2.6274097e-06,2.957147e-07,8.486751e-07,9.344445e-06,3.7962103e-08,1.1702516e-06,1.7858115e-06,2.6198609e-06,6.0238904e-06,1.3119545e-07,9.094671e-07,5.1194075e-07,6.957343e-07,7.270049e-07,4.5581073e-06
OSBPL7,5.2994635e-09,1.9182014e-08,2.29705e-06,5.5808547e-10,2.5901165e-06,2.575285e-09,7.318806e-09,1.2983606e-08,5.3387572e-05,6.966645e-07,5.1190265e-09,3.1835864e-08,9.914605e-10,2.7555336e-07,4.9222812e-09,8.308696e-06
MAP3K14,1.1030015e-09,6.581717e-09,0.00013597144,8.143579e-06,5.6851995e-06,2.4867237e-09,8.564226e-09,8.510717e-09,9.18771e-06,1.3932613e-05,6.0956444e-09,8.806118e-09,7.751716e-08,0.0004849314,2.9933263e-09,1.2933876e-08
ABCC8,1.3447449e-10,5.676487e-10,2.0565738e-10,3.343629e-10,8.203974e-10,2.8242664e-10,4.883414e-10,5.9339483e-10,2.794298e-10,8.1259055e-10,4.3365778e-10,5.2742105e-10,1.6870193e-10,0.00027735342,2.751475e-10,6.744095e-10
AP2B1,8.9470376e-11,3.4197362e-10,1.4050612e-10,1.7754932e-10,4.322564e-10,1.8689993e-10,0.0050323047,3.4414138e-10,1.9891863e-10,3.9450287e-10,2.709344e-10,3.1926678e-10,7.85642e-11,1.1012478e-10,1.8962314e-10,3.7108072e-10
ZNF263,3.2395325e-10,1.5610183e-09,0.00028966935,2.3987366e-05,2.0619795e-09,7.2645484e-10,1.3049515e-09,1.640004e-09,5.5034877e-10,1.805075e-09,1.1506233e-09,1.3906619e-09,3.039703e-10,3.9131326e-05,6.8178807e-10,1.8787254e-09
CX3CL1,7.1040354e-11,2.7431016e-10,8.951236e-11,0.0005860548,3.3526654e-10,1.5032561e-10,2.336572e-10,2.7390235e-10,1.4482282e-10,3.0383815e-10,2.1521324e-10,2.525454e-10,5.727917e-11,1.0361083e-10,1.4799954e-10,2.9232092e-10
MAP3K9,9.405939e-10,6.5842785e-09,1.8586872e-05,2.5834113e-10,1.3478918e-08,1.7037284e-09,3.1760157e-09,5.474762e-09,0.00013646274,1.682997e-08,3.0846945e-09,8.2905105e-09,1.6986147e-09,0.00012629252,2.32333e-09,2.9551768e-05
RALA,1.4246312e-10,6.185283e-10,4.6536758e-10,2.999291e-10,8.330467e-10,3.3319467e-10,5.604268e-10,6.3732325e-10,4.1059614e-10,8.0170176e-10,0.003810974,6.0228095e-10,1.607976e-10,2.1234192e-10,3.2519448e-10,6.9045003e-10
BAIAP2L1,1.9780669e-10,8.5552737e-10,1.7187546e-10,2.954645e-10,9.593137e-10,4.1670511e-10,6.7412653e-10,8.2562474e-10,0.0022705174,8.521839e-10,6.071135e-10,7.490448e-10,1.444562e-10,3.655981e-10,4.157564e-10,9.308795e-10
KDM7A,3.5244901e-10,1.1449488e-09,6.7933644e-05,8.2396345e-10,1.6946989e-09,6.51026e-10,1.1109085e-09,1.2150871e-09,0.0007893517,1.5751442e-09,9.918274e-10,1.1599376e-09,5.283907e-10,3.0407815e-10,7.28082e-10,1.2437409e-09
ETV1,6.158056e-10,1.4344512e-08,2.5594694e-08,1.241255e-05,4.8035647e-05,1.895003e-09,8.050487e-09,2.0372e-08,3.1205476e-05,6.370769e-05,3.6495107e-09,8.77361e-09,2.790823e-06,1.2352796e-05,1.8920847e-09,1.9227573e-05
AGK,3.76951e-10,1.3039887e-09,5.5668996e-05,1.4726919e-05,2.2355224e-09,6.831327e-10,1.2824971e-09,1.4805778e-09,0.00048225236,2.1013813e-09,1.1477738e-09,1.3679375e-09,5.4762317e-10,1.5077724e-05,6.9290385e-10,1.6524916e-09
ALDH3B1,6.4242106e-10,2.0808022e-08,3.3114748e-07,2.793275e-10,2.0770708e-08,1.1062551e-08,6.468366e-09,9.750459e-09,1.6137301e-05,2.172374e-06,4.401447e-08,9.1430095e-08,9.023167e-10,4.2286947e-06,5.95637e-09,2.548745e-06
TTC22,6.512321e-10,6.796124e-09,1.4558865e-06,2.1341669e-10,8.416346e-09,1.8069523e-09,2.9145868e-09,5.0286983e-09,1.33233525e-05,8.053897e-09,3.0695406e-09,8.934854e-09,9.337157e-10,1.6623385e-06,7.356089e-09,3.1990044e-08
PHTF2,4.275017e-10,1.5658551e-09,0.0008686141,7.9791396e-10,2.3752575e-09,8.0394963e-10,1.3630516e-09,1.6648966e-09,5.492425e-10,2.2472149e-09,1.2335254e-09,1.5264987e-09,5.0429017e-10,4.1473017e-05,8.958671e-10,1.9134025e-09
CCL26,1.2516035e-09,2.9291561e-08,1.600669e-06,2.4988758e-06,6.4652795e-06,5.0803624e-09,1.8153052e-07,3.6169166e-07,4.825192e-06,1.1340753e-05,3.182275e-08,6.518902e-08,1.6341332e-06,8.946791e-07,2.4105786e-09,5.006178e-06
FARP2,2.5626862e-10,1.625309e-09,5.115764e-10,3.481781e-10,2.209988e-09,6.692467e-10,1.2688279e-09,0.0032698957,0.00015813223,2.2994489e-09,1.1192541e-09,1.5285148e-09,3.2456984e-10,7.6919394e-05,6.4929856e-10,2.3318898e-09
USH1C,1.4267006e-10,5.972544e-10,0.0003646201,1.565329e-10,6.4079836e-10,3.0667943e-10,4.6444004e-10,5.579364e-10,2.7008715e-05,5.661004e-10,4.2417322e-10,5.1886795e-10,1.045195e-10,1.5148642e-10,3.3678163e-10,6.0188826e-10
DBF4,5.7175207e-09,3.9979873e-09,4.0655425e-05,4.8086767e-06,9.374421e-09,3.0599654e-09,5.6342166e-09,4.1676094e-09,1.735616e-05,6.373296e-09,3.998811e-09,4.3850714e-09,3.1772172e-06,2.6016825e-10,2.3039455e-08,3.0687093e-09
TBXA2R,2.9645916e-10,1.2931155e-09,6.166333e-09,2.3699e-05,2.1898932e-09,6.286739e-10,1.3838617e-09,1.5193704e-09,4.965438e-10,1.93166e-09,1.1871119e-09,1.3686839e-09,3.833994e-10,4.9071774e-10,6.7242245e-10,1.6339062e-09
IFRD1,9.542983e-11,3.4992909e-10,1.3956489e-10,1.9828339e-10,4.4173545e-10,1.9541903e-10,3.0636196e-10,3.5255185e-10,1.9576038e-10,4.0256776e-10,0.0013624501,3.2603478e-10,8.258984e-11,1.09521704e-10,1.9367465e-10,3.7049938e-10
COX10,9.2457114e-10,1.0072471e-08,7.873049e-05,2.3040006e-06,0.00010127288,2.3419497e-09,1.2356171e-08,1.9294076e-08,3.0466465e-09,8.521422e-05,7.639849e-09,2.2814815e-08,7.107611e-06,4.993478e-05,2.88162e-09,3.3554887e-05
GTF2IRD1,6.5121475e-10,8.745875e-09,4.1170425e-10,1.1649306e-09,8.212401e-09,2.250316e-09,4.1685397e-09,6.870466e-09,0.0012567996,8.918729e-09,3.7556322e-09,5.277595e-09,6.921906e-10,0.00020763741,1.5578775e-09,3.98548e-08
VPS41,1.2581082e-10,5.606236e-10,2.0496854e-10,1.9875025e-10,7.1774353e-10,2.8645922e-10,0.0022318878,5.682478e-10,3.071173e-10,6.8032147e-10,4.3313533e-10,5.2822446e-10,1.1750771e-10,6.247448e-10,2.7050895e-10,6.5584055e-10
