,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
DPM1,6.582326e-11,2.4551183e-10,8.7135646e-11,1.23392e-10,2.994621e-10,1.3514094e-10,2.0984885e-10,2.4455793e-10,1.3506261e-10,2.7705332e-10,0.0023954,2.2622829e-10,5.4116645e-11,8.020944e-11,1.3688346e-10,2.6631916e-10
SCYL3,7.3281753e-10,1.0609288e-08,5.967318e-06,7.040424e-10,1.9413894e-05,1.9300468e-09,6.583085e-09,1.1870739e-08,3.082016e-05,2.7738926e-05,4.412069e-09,1.4810699e-08,7.653938e-09,8.529036e-06,2.0041389e-09,1.71929e-05
C1orf112,8.358606e-10,2.5435654e-08,2.7644539e-05,7.299985e-09,8.105694e-05,2.7359233e-09,3.7927215e-08,7.211725e-07,2.281311e-05,9.5264266e-05,1.0213035e-08,1.2263417e-06,8.9080015e-07,1.541019e-05,3.6166785e-09,3.8999704e-05
FGR,9.768245e-11,3.390607e-10,0.00024216076,3.83164e-10,4.3121554e-10,2.0476926e-10,3.1612912e-10,3.4767708e-10,1.6668975e-10,3.9102913e-10,2.9475922e-10,3.228331e-10,8.315858e-11,8.4556785e-11,2.0247591e-10,3.4657469e-10
CFH,6.782235e-11,2.5241154e-10,8.746617e-11,1.5681169e-10,3.0845398e-10,0.0018522376,2.1782735e-10,2.521358e-10,1.3648432e-10,2.829081e-10,1.9866195e-10,2.317991e-10,5.5524394e-11,7.7311796e-11,1.413693e-10,2.7064312e-10
GCLC,7.712567e-10,2.5987872e-09,0.00034360855,3.4310457e-10,2.2213773e-09,1.3531382e-09,1.6063919e-09,2.1535214e-09,6.336625e-05,1.9480508e-09,1.6267604e-09,2.0042956e-09,3.2605657e-10,4.0866134e-06,1.2365736e-09,2.6736982e-09
STPG1,1.8004261e-09,6.221941e-06,1.1730287e-09,5.654659e-06,3.1911142e-05,3.5287495e-09,5.967836e-08,6.648941e-06,1.5589685e-05,1.7583305e-05,1.41587195e-08,2.329075e-06,1.6334795e-09,3.9161492e-05,3.2031853e-09,4.589927e-05
NIPAL3,3.9702394e-07,2.464643e-06,5.9577225e-05,2.3251988e-07,0.00015518328,4.049754e-09,7.883638e-06,1.4613652e-05,1.4471923e-05,8.637226e-05,2.5382922e-08,2.8097878e-05,4.117233e-07,4.1397503e-05,7.490623e-09,8.21998e-05
LAS1L,8.773099e-11,3.1842937e-10,1.3496554e-10,1.7255408e-10,4.0064202e-10,1.7814362e-10,2.7885105e-10,3.2071265e-10,1.6736194e-10,3.6124917e-10,2.5535762e-10,2.9776198e-10,7.501268e-11,9.893877e-11,1.8185409e-10,0.0010158163
SEMA3F,4.3081108e-10,1.7832458e-09,3.5116468e-10,5.26178e-05,2.000381e-09,8.29905e-10,1.6180093e-09,1.7344838e-09,8.098729e-06,1.5943834e-09,1.272143e-09,1.5255556e-09,3.1176214e-10,2.3090199e-10,1.0587329e-09,1.6430254e-09
CFTR,9.311116e-11,3.7118122e-10,1.07705546e-10,1.4271714e-10,4.5300083e-10,1.9703589e-10,3.0419012e-10,3.7042375e-10,1.719489e-10,4.17082e-10,2.8514494e-10,3.4008987e-10,7.2574266e-11,0.018809466,1.8840388e-10,4.2403733e-10
ANKIB1,7.2116735e-10,3.2685874e-09,0.00027600507,2.6659938e-05,8.7218694e-09,1.4459465e-09,3.1883305e-09,3.810557e-09,0.0019142204,8.488977e-09,2.6293958e-09,3.494417e-09,2.240282e-09,8.515175e-05,1.5175688e-09,4.849075e-09
RAD52,7.8147266e-10,1.3267214e-08,5.414624e-05,4.4206612e-05,0.00019865914,2.3061866e-09,2.1148766e-08,5.3137477e-08,3.4970975e-07,0.00019894466,8.836606e-09,3.4520873e-08,5.1433553e-06,8.196339e-05,2.3120972e-09,0.000106416956
LAP3,6.2011445e-11,2.3011149e-10,8.2630014e-11,1.183907e-10,2.809829e-10,1.2725646e-10,1.9722651e-10,2.2934951e-10,1.2384638e-10,2.602819e-10,1.8144077e-10,2.1221964e-10,5.0697578e-11,7.437216e-11,0.0009488187,2.495051e-10
HS3ST1,2.9861425e-08,2.0685065e-09,5.673121e-10,2.2397522e-09,1.8168224e-09,2.1949238e-09,1.9720556e-09,1.7561516e-09,0.0005828685,1.3613497e-09,1.8482759e-09,1.690041e-09,7.662567e-10,1.1927284e-10,4.5997473e-05,1.2635148e-09
AOC1,4.4171947e-10,1.9632809e-09,6.2513694e-10,3.0916433e-10,2.130601e-09,9.2920305e-10,1.4830649e-09,1.7470609e-09,2.8189914e-05,1.7806286e-09,1.2962986e-09,1.7216427e-09,4.6102358e-10,2.5523347e-10,1.7982776e-09,1.8150177e-09
LASP1,9.505307e-11,3.7053896e-10,1.6579114e-10,1.7872628e-10,4.7483406e-10,2.0257093e-10,3.235605e-10,0.0035660772,2.0273289e-10,4.3490772e-10,2.9622005e-10,3.4925363e-10,8.5691676e-11,1.3319609e-10,2.0325752e-10,4.034987e-10
