,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
DBNDD1,6.211503e-11,3.4315104e-10,3.4042086e-10,4.2454554e-10,8.3640284e-10,1.5070513e-10,3.0407643e-10,3.5966924e-10,4.455169e-10,8.2739665e-10,2.630117e-10,3.4446254e-10,5.7083727e-11,3.5736547e-10,1.4699912e-10,6.2949224e-10
ALS2,6.211503e-11,3.4314382e-10,3.642853e-10,5.4454113e-10,8.364267e-10,1.5070686e-10,3.0408165e-10,3.5967063e-10,7.045972e-10,8.273951e-10,2.6300967e-10,3.4446385e-10,5.730616e-11,0.00028624546,1.4699912e-10,6.29389e-10
CASP10,6.211503e-11,3.4314904e-10,3.5749093e-10,4.8020127e-10,8.364299e-10,1.5072066e-10,3.040799e-10,3.5966788e-10,0.0008200667,8.273588e-10,2.6301067e-10,3.4446124e-10,5.7083612e-11,3.2775566e-10,1.4699912e-10,6.293854e-10
CFLAR,6.211503e-11,3.4315104e-10,3.4035205e-10,4.245415e-10,8.363342e-10,1.5069364e-10,3.040799e-10,3.5966788e-10,4.4008214e-10,8.2732404e-10,0.0049838442,3.4445924e-10,5.7083612e-11,3.2775316e-10,1.4699857e-10,6.2938654e-10
NDUFAF7,6.2115264e-11,3.431569e-10,4.3976744e-10,4.4390697e-10,1.0485881e-09,1.5071663e-10,3.0409092e-10,3.5968983e-10,4.8735604e-10,1.1017923e-09,2.630137e-10,3.4448358e-10,5.780124e-11,3.4450065e-10,1.4699969e-10,6.695608e-10
RBM5,6.211503e-11,3.4314773e-10,3.4035333e-10,4.2454473e-10,8.363948e-10,1.5069967e-10,3.0408048e-10,3.5966854e-10,4.4008383e-10,8.273746e-10,2.6300967e-10,3.4446124e-10,0.00020011187,3.2774816e-10,1.4699912e-10,6.2938416e-10
SLC7A2,6.214228e-11,3.431484e-10,3.4035205e-10,0.0010031941,8.3632146e-10,1.5070628e-10,3.040915e-10,3.5966788e-10,4.4008297e-10,8.273541e-10,2.6301017e-10,3.4446124e-10,5.7083612e-11,3.4064299e-10,1.4699912e-10,6.2938177e-10
SARM1,6.211503e-11,3.4315364e-10,3.4988837e-10,4.2454798e-10,9.2043806e-10,1.5072812e-10,3.0408454e-10,3.5968642e-10,4.736771e-10,9.343178e-10,2.6301067e-10,3.4448158e-10,5.7114327e-11,3.757859e-10,1.4700362e-10,6.7260714e-10
POLDIP2,6.211503e-11,3.4314185e-10,3.4035205e-10,4.2454232e-10,8.3638685e-10,1.5071261e-10,3.0408395e-10,3.5966788e-10,0.0025372752,8.273683e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.2772565e-10,1.4699857e-10,6.2937217e-10
AK2,6.211503e-11,3.431497e-10,3.4035205e-10,4.245415e-10,8.363629e-10,1.5071261e-10,3.0408048e-10,0.0045592706,4.4008214e-10,8.2739665e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.2772943e-10,1.4699857e-10,6.293794e-10
